0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0806-hh-100-cc,,,,,,,,,,,,,
HIT-HP MVX-0403-hh-050-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,28",,"0,87","3,08","0,28",,"0,95","3,16","0,28",,"0,95","3,16"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,∅8/16,∅8,,∅6/25,"∅8/15,5",∅8,,∅6/25,"∅8/15,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-31,4","96,0","-31,4","96,0","-32,8","96,0","-32,8","96,0","-32,8","96,0","-32,8","96,0"
,130,"-33,4","96,0","-33,4","96,0","-34,8","96,0","-34,8","96,0","-34,8","96,0","-34,8","96,0"
,135,"-35,4","96,0","-35,4","96,0","-36,8","96,0","-36,8","96,0","-36,8","96,0","-36,8","96,0"
,140,"-37,3","96,0","-37,3","96,0","-38,7","96,0","-38,7","96,0","-38,7","96,0","-38,7","96,0"
,145,"-39,3","96,0","-39,3","96,0","-40,7","96,0","-40,7","96,0","-40,7","96,0","-40,7","96,0"
,150,"-41,3","96,0","-41,3","96,0","-42,7","96,0","-42,7","96,0","-42,7","96,0","-42,7","96,0"
,155,"-43,2","96,0","-43,2","96,0","-44,6","96,0","-44,6","96,0","-44,6","96,0","-44,6","96,0"
,160,"-45,2","96,0","-45,2","96,0","-46,6","96,0","-46,6","96,0","-46,6","96,0","-46,6","96,0"
,165,"-47,2","96,0","-47,2","96,0","-48,6","96,0","-48,6","96,0","-48,6","96,0","-48,6","96,0"
,170,"-49,1","96,0","-49,1","96,0","-50,5","96,0","-50,5","96,0","-50,5","96,0","-50,5","96,0"
,175,"-51,1","96,0","-51,1","96,0","-52,5","96,0","-52,5","96,0","-52,5","96,0","-52,5","96,0"
,180,"-53,1","96,0","-53,1","96,0","-54,5","96,0","-54,5","96,0","-54,5","96,0","-54,5","96,0"
,185,"-55,0","96,0","-55,0","96,0","-56,4","96,0","-56,4","96,0","-56,4","96,0","-56,4","96,0"
,190,"-57,0","96,0","-57,0","96,0","-58,4","96,0","-58,4","96,0","-58,4","96,0","-58,4","96,0"
,195,"-59,0","96,0","-59,0","96,0","-60,4","96,0","-60,4","96,0","-60,4","96,0","-60,4","96,0"
,200,"-60,9","96,0","-60,9","96,0","-62,3","96,0","-62,3","96,0","-62,3","96,0","-62,3","96,0"
,205,"-62,9","96,0","-62,9","96,0","-64,3","96,0","-64,3","96,0","-64,3","96,0","-64,3","96,0"
,210,"-64,9","96,0","-64,9","96,0","-66,3","96,0","-66,3","96,0","-66,3","96,0","-66,3","96,0"
,215,"-66,8","96,0","-66,8","96,0","-68,2","96,0","-68,2","96,0","-68,2","96,0","-68,2","96,0"
,220,"-68,8","96,0","-68,8","96,0","-70,2","96,0","-70,2","96,0","-70,2","96,0","-70,2","96,0"
,225,"-70,8","96,0","-70,8","96,0","-72,2","96,0","-72,2","96,0","-72,2","96,0","-72,2","96,0"
,230,"-72,7","96,0","-72,7","96,0","-74,1","96,0","-74,1","96,0","-74,1","96,0","-74,1","96,0"
,235,"-74,7","96,0","-74,7","96,0","-76,1","96,0","-76,1","96,0","-76,1","96,0","-76,1","96,0"
,240,"-76,7","96,0","-76,7","96,0","-78,1","96,0","-78,1","96,0","-78,1","96,0","-78,1","96,0"
,245,"-78,6","96,0","-78,6","96,0","-80,0","96,0","-80,0","96,0","-80,0","96,0","-80,0","96,0"
,250,"-80,6","96,0","-80,6","96,0","-82,0","96,0","-82,0","96,0","-82,0","96,0","-82,0","96,0"
,255,"-82,6","96,0","-82,6","96,0","-84,0","96,0","-84,0","96,0","-84,0","96,0","-84,0","96,0"
,260,"-84,5","96,0","-84,5","96,0","-85,9","96,0","-85,9","96,0","-85,9","96,0","-85,9","96,0"
,265,"-86,5","96,0","-86,5","96,0","-87,9","96,0","-87,9","96,0","-87,9","96,0","-87,9","96,0"
,270,"-88,5","96,0","-88,5","96,0","-89,9","96,0","-89,9","96,0","-89,9","96,0","-89,9","96,0"
,275,"-90,4","96,0","-90,4","96,0","-91,8","96,0","-91,8","96,0","-91,8","96,0","-91,8","96,0"
,280,"-92,4","96,0","-92,4","96,0","-93,8","96,0","-93,8","96,0","-93,8","96,0","-93,8","96,0"
,285,"-94,4","96,0","-94,4","96,0","-95,8","96,0","-95,8","96,0","-95,8","96,0","-95,8","96,0"
