0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1112-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,19",,"1,46","5,59","0,19",,"1,60","5,80","0,19",,"1,60","5,90"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/19,"∅8/8,5",∅8,,"∅6/17,5","∅8/8,5",∅8,,"∅6/17,5","∅8/8,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-32,5","192,0","-46,3","147,3","-38,5","192,0","-48,6","159,9","-42,9","192,0","-48,6","173,7"
,130,"-34,3","192,0","-48,7","148,2","-40,5","192,0","-51,3","159,9","-45,3","192,0","-51,3","173,7"
,135,"-36,0","192,0","-51,0","149,0","-42,6","192,0","-54,0","159,9","-47,6","192,0","-54,0","173,7"
,140,"-37,8","192,0","-53,4","149,7","-44,7","192,0","-56,7","159,9","-49,9","192,0","-56,7","173,7"
,145,"-39,5","192,0","-55,8","150,3","-46,7","192,0","-59,4","159,9","-52,3","192,0","-59,4","173,7"
,150,"-41,2","192,0","-58,1","150,9","-48,8","192,0","-62,1","159,9","-54,6","192,0","-62,1","173,7"
,155,"-43,0","192,0","-60,5","151,4","-50,8","192,0","-64,8","159,9","-57,0","192,0","-64,8","173,7"
,160,"-44,7","192,0","-62,8","151,9","-52,9","192,0","-67,5","159,9","-59,3","192,0","-67,5","173,7"
,165,"-46,5","192,0","-65,2","152,3","-55,0","192,0","-70,2","159,9","-61,6","192,0","-70,2","173,7"
,170,"-48,2","192,0","-67,5","152,6","-57,0","192,0","-72,9","159,9","-64,0","192,0","-72,9","173,7"
,175,"-50,0","192,0","-69,9","153,0","-59,1","192,0","-75,7","159,9","-66,3","192,0","-75,7","173,7"
,180,"-51,7","192,0","-72,3","153,3","-61,2","192,0","-78,4","159,9","-68,6","192,0","-78,4","173,7"
,185,"-53,4","192,0","-74,6","153,6","-63,2","192,0","-81,1","159,9","-71,0","192,0","-81,1","173,7"
,190,"-55,2","192,0","-77,0","153,9","-65,3","192,0","-83,8","159,9","-73,3","192,0","-83,8","173,7"
,195,"-56,9","192,0","-79,3","154,1","-67,3","192,0","-86,5","159,9","-75,7","192,0","-86,5","173,7"
,200,"-58,7","192,0","-81,7","154,4","-69,4","192,0","-89,2","159,9","-78,0","192,0","-89,2","173,7"
,205,"-60,4","192,0","-84,1","154,6","-71,5","192,0","-91,9","159,9","-80,3","192,0","-91,9","173,7"
,210,"-62,2","192,0","-86,4","154,8","-73,5","192,0","-94,6","159,9","-82,7","192,0","-94,6","173,7"
,215,"-63,9","192,0","-88,8","155,0","-75,6","192,0","-97,3","159,9","-85,0","192,0","-97,3","173,7"
,220,"-65,6","192,0","-91,1","155,2","-77,7","192,0","-100,0","159,9","-87,4","192,0","-100,0","173,7"
,225,"-67,4","192,0","-93,5","155,4","-79,7","192,0","-102,7","159,9","-89,7","192,0","-102,7","173,7"
,230,"-69,1","192,0","-95,9","155,5","-81,8","192,0","-105,4","159,9","-92,0","192,0","-105,4","173,7"
,235,"-70,9","192,0","-98,2","155,7","-83,9","192,0","-108,1","159,9","-94,4","192,0","-108,1","173,7"
,240,"-72,6","192,0","-100,6","155,8","-85,9","192,0","-110,8","159,9","-96,7","192,0","-110,8","173,7"
,245,"-74,4","192,0","-102,9","156,0","-88,0","192,0","-113,5","159,9","-99,0","192,0","-113,5","173,7"
,250,"-76,1","192,0","-105,3","156,1","-90,0","192,0","-116,2","159,9","-101,4","192,0","-116,2","173,7"
,255,"-77,8","192,0","-107,6","156,2","-92,1","192,0","-118,9","159,9","-103,7","192,0","-118,9","173,7"
,260,"-79,6","192,0","-110,0","156,3","-94,2","192,0","-121,6","159,9","-106,1","192,0","-121,6","173,7"
,265,"-81,3","192,0","-112,4","156,5","-96,2","192,0","-124,3","159,9","-108,4","192,0","-124,3","173,7"
,270,"-83,1","192,0","-114,7","156,6","-98,3","192,0","-127,0","159,9","-110,7","192,0","-127,0","173,7"
,275,"-84,8","192,0","-117,1","156,7","-100,4","192,0","-129,7","159,9","-113,1","192,0","-129,7","173,7"
,280,"-86,6","192,0","-119,4","156,8","-102,4","192,0","-132,4","159,9","-115,4","192,0","-132,4","173,7"
,285,"-88,3","192,0","-121,8","156,9","-104,5","192,0","-135,1","159,9","-117,8","192,0","-135,1","173,7"
,290,"-90,0","192,0","-124,2","157,0","-106,6","192,0","-137,9","159,9","-120,1","192,0","-137,9","173,7"
,295,"-91,8","192,0","-126,5","157,0","-108,6","192,0","-140,6","159,9","-122,4","192,0","-140,6","173,7"
,300,"-93,5","192,0","-128,9","157,1","-110,7","192,0","-143,3","159,9","-124,8","192,0","-143,3","173,7"
"cnom=
30mm",310,"-94,9","192,0","-94,9","192,0","-111,5","192,0","-111,5","192,0","-124,5","192,0","-124,5","192,0"
,320,"-98,3","192,0","-98,3","192,0","-115,5","192,0","-115,5","192,0","-129,0","192,0","-129,0","192,0"
"cnom=
35mm",305,"-93,2","192,0","-93,2","192,0","-109,5","192,0","-109,5","192,0","-122,2","192,0","-122,2","192,0"
,315,"-96,6","192,0","-96,6","192,0","-113,5","192,0","-113,5","192,0","-126,7","192,0","-126,7","192,0"
