0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0710-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,15",,"1,07","4,75","0,15",,"1,15","4,83","0,15",,"1,15","4,83"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,"∅8/10,5",∅8,,"∅6/24,5",∅8/10,∅8,,"∅6/24,5",∅8/10
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-31,4","160,0","-31,4","160,0","-32,1","160,0","-32,1","160,0","-32,1","160,0","-32,1","160,0"
,130,"-33,2","160,0","-33,2","160,0","-33,8","160,0","-33,8","160,0","-33,8","160,0","-33,8","160,0"
,135,"-34,9","160,0","-34,9","160,0","-35,5","160,0","-35,5","160,0","-35,5","160,0","-35,5","160,0"
,140,"-36,6","160,0","-36,6","160,0","-37,2","160,0","-37,2","160,0","-37,2","160,0","-37,2","160,0"
,145,"-38,3","160,0","-38,3","160,0","-39,0","160,0","-39,0","160,0","-39,0","160,0","-39,0","160,0"
,150,"-40,0","160,0","-40,0","160,0","-40,7","160,0","-40,7","160,0","-40,7","160,0","-40,7","160,0"
,155,"-41,8","160,0","-41,8","160,0","-42,4","160,0","-42,4","160,0","-42,4","160,0","-42,4","160,0"
,160,"-43,5","160,0","-43,5","160,0","-44,1","160,0","-44,1","160,0","-44,1","160,0","-44,1","160,0"
,165,"-45,2","160,0","-45,2","160,0","-45,8","160,0","-45,8","160,0","-45,8","160,0","-45,8","160,0"
,170,"-46,9","160,0","-46,9","160,0","-47,6","160,0","-47,6","160,0","-47,6","160,0","-47,6","160,0"
,175,"-48,7","160,0","-48,7","160,0","-49,3","160,0","-49,3","160,0","-49,3","160,0","-49,3","160,0"
,180,"-50,4","160,0","-50,4","160,0","-51,0","160,0","-51,0","160,0","-51,0","160,0","-51,0","160,0"
,185,"-52,1","160,0","-52,1","160,0","-52,7","160,0","-52,7","160,0","-52,7","160,0","-52,7","160,0"
,190,"-53,8","160,0","-53,8","160,0","-54,5","160,0","-54,5","160,0","-54,5","160,0","-54,5","160,0"
,195,"-55,5","160,0","-55,5","160,0","-56,2","160,0","-56,2","160,0","-56,2","160,0","-56,2","160,0"
,200,"-57,3","160,0","-57,3","160,0","-57,9","160,0","-57,9","160,0","-57,9","160,0","-57,9","160,0"
,205,"-59,0","160,0","-59,0","160,0","-59,6","160,0","-59,6","160,0","-59,6","160,0","-59,6","160,0"
,210,"-60,7","160,0","-60,7","160,0","-61,3","160,0","-61,3","160,0","-61,3","160,0","-61,3","160,0"
,215,"-62,4","160,0","-62,4","160,0","-63,1","160,0","-63,1","160,0","-63,1","160,0","-63,1","160,0"
,220,"-64,1","160,0","-64,1","160,0","-64,8","160,0","-64,8","160,0","-64,8","160,0","-64,8","160,0"
,225,"-65,9","160,0","-65,9","160,0","-66,5","160,0","-66,5","160,0","-66,5","160,0","-66,5","160,0"
,230,"-67,6","160,0","-67,6","160,0","-68,2","160,0","-68,2","160,0","-68,2","160,0","-68,2","160,0"
,235,"-69,3","160,0","-69,3","160,0","-69,9","160,0","-69,9","160,0","-69,9","160,0","-69,9","160,0"
,240,"-71,0","160,0","-71,0","160,0","-71,7","160,0","-71,7","160,0","-71,7","160,0","-71,7","160,0"
,245,"-72,7","160,0","-72,7","160,0","-73,4","160,0","-73,4","160,0","-73,4","160,0","-73,4","160,0"
,250,"-74,5","160,0","-74,5","160,0","-75,1","160,0","-75,1","160,0","-75,1","160,0","-75,1","160,0"
,255,"-76,2","160,0","-76,2","160,0","-76,8","160,0","-76,8","160,0","-76,8","160,0","-76,8","160,0"
,260,"-77,9","160,0","-77,9","160,0","-78,5","160,0","-78,5","160,0","-78,5","160,0","-78,5","160,0"
,265,"-79,6","160,0","-79,6","160,0","-80,3","160,0","-80,3","160,0","-80,3","160,0","-80,3","160,0"
,270,"-81,4","160,0","-81,4","160,0","-82,0","160,0","-82,0","160,0","-82,0","160,0","-82,0","160,0"
,275,"-83,1","160,0","-83,1","160,0","-83,7","160,0","-83,7","160,0","-83,7","160,0","-83,7","160,0"
,280,"-84,8","160,0","-84,8","160,0","-85,4","160,0","-85,4","160,0","-85,4","160,0","-85,4","160,0"
,285,"-86,5","160,0","-86,5","160,0","-87,2","160,0","-87,2","160,0","-87,2","160,0","-87,2","160,0"
,290,"-88,2","160,0","-88,2","160,0","-88,9","160,0","-88,9","160,0","-88,9","160,0","-88,9","160,0"
,295,"-90,0","160,0","-90,0","160,0","-90,6","160,0","-90,6","160,0","-90,6","160,0","-90,6","160,0"
,300,"-91,7","160,0","-91,7","160,0","-92,3","160,0","-92,3","160,0","-92,3","160,0","-92,3","160,0"
"cnom=
30mm",310,"-85,1","160,0","-85,1","160,0","-95,8","160,0","-95,8","160,0","-95,8","160,0","-95,8","160,0"
,320,"-88,1","160,0","-88,1","160,0","-99,2","160,0","-99,2","160,0","-99,2","160,0","-99,2","160,0"
"cnom=
35mm",305,"-83,6","160,0","-83,6","160,0","-94,0","160,0","-94,0","160,0","-94,0","160,0","-94,0","160,0"
,315,"-86,6","160,0","-86,6","160,0","-97,5","160,0","-97,5","160,0","-97,5","160,0","-97,5","160,0"
