0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1810-hh-100-cc,,,,,,,,,,,,,
HIT-HP MVX-0905-hh-050-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,38",,"1,61","4,94","0,38",,"1,79","5,14","0,38",,"1,79","5,21"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,"∅6/17,5",∅8/10,∅8,,"∅6/15,5","∅8/9,5",∅8,,"∅6/15,5","∅8/9,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-41,2","160,0","-63,2","57,9","-47,1","160,0","-67,5","73,9","-50,8","160,0","-67,5","87,6"
,130,"-43,6","160,0","-67,7","57,9","-49,8","160,0","-71,9","73,9","-53,8","160,0","-71,9","87,6"
,135,"-46,0","160,0","-72,1","57,9","-52,5","160,0","-76,3","73,9","-56,8","160,0","-76,3","87,6"
,140,"-48,4","160,0","-76,5","57,9","-55,2","160,0","-80,8","73,9","-59,8","160,0","-80,8","87,6"
,145,"-50,7","160,0","-81,0","57,9","-57,9","160,0","-85,2","73,9","-62,7","160,0","-85,2","87,6"
,150,"-53,1","160,0","-84,9","59,8","-60,6","160,0","-89,6","73,9","-65,7","160,0","-89,6","87,6"
,155,"-55,5","160,0","-88,7","61,7","-63,3","160,0","-94,0","73,9","-68,7","160,0","-94,0","87,6"
,160,"-57,9","160,0","-92,6","63,3","-66,0","160,0","-98,5","73,9","-71,7","160,0","-98,5","87,6"
,165,"-60,3","160,0","-96,5","64,8","-68,7","160,0","-102,9","73,9","-74,6","160,0","-102,9","87,6"
,170,"-62,7","160,0","-100,3","66,0","-71,4","160,0","-107,3","73,9","-77,6","160,0","-107,3","87,6"
,175,"-65,0","160,0","-104,2","67,1","-74,1","160,0","-111,7","73,9","-80,6","160,0","-111,7","87,6"
,180,"-67,4","160,0","-108,0","68,1","-76,8","160,0","-116,2","73,9","-83,6","160,0","-116,2","87,6"
,185,"-69,8","160,0","-111,9","69,0","-79,5","160,0","-120,6","73,9","-86,6","160,0","-120,6","87,6"
,190,"-72,2","160,0","-115,7","69,8","-82,2","160,0","-125,0","73,9","-89,5","160,0","-125,0","87,6"
,195,"-74,6","160,0","-119,6","70,5","-84,9","160,0","-129,4","73,9","-92,5","160,0","-129,4","87,6"
,200,"-77,0","160,0","-123,5","71,2","-87,6","160,0","-133,9","73,9","-95,5","160,0","-133,9","87,6"
,205,"-79,3","160,0","-127,3","71,8","-90,3","160,0","-138,3","73,9","-98,5","160,0","-138,3","87,6"
,210,"-81,7","160,0","-131,2","72,3","-93,0","160,0","-142,7","73,9","-101,5","160,0","-142,7","87,6"
,215,"-84,1","160,0","-135,0","72,9","-95,7","160,0","-147,1","73,9","-104,4","160,0","-147,1","87,6"
,220,"-86,5","160,0","-138,9","73,3","-98,4","160,0","-151,6","73,9","-107,4","160,0","-151,6","87,6"
,225,"-88,9","160,0","-142,8","73,8","-101,1","160,0","-156,0","73,9","-110,4","160,0","-156,0","87,6"
,230,"-91,3","160,0","-146,6","74,2","-103,8","160,0","-160,4","73,9","-113,4","160,0","-160,4","87,6"
,235,"-93,6","160,0","-150,5","74,6","-106,5","160,0","-164,8","73,9","-116,3","160,0","-164,8","87,6"
,240,"-96,0","160,0","-154,3","75,0","-109,2","160,0","-169,3","73,9","-119,3","160,0","-169,3","87,6"
,245,"-98,4","160,0","-158,2","75,3","-111,9","160,0","-173,7","73,9","-122,3","160,0","-173,7","87,6"
,250,"-100,8","160,0","-162,1","75,6","-114,6","160,0","-178,1","73,9","-125,3","160,0","-178,1","87,6"
,255,"-103,2","160,0","-165,9","75,9","-117,3","160,0","-182,5","73,9","-128,3","160,0","-182,5","87,6"
,260,"-105,6","160,0","-169,8","76,2","-120,0","160,0","-187,0","73,9","-131,2","160,0","-187,0","87,6"
