0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0506-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,18",,"0,71","2,91","0,18",,"0,76","2,97","0,18",,"0,76","2,97"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,∅8/17,∅8,,∅6/25,"∅8/16,5",∅8,,∅6/25,"∅8/16,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-21,9","96,0","-21,9","96,0","-22,4","96,0","-22,4","96,0","-22,4","96,0","-22,4","96,0"
,130,"-23,1","96,0","-23,1","96,0","-23,6","96,0","-23,6","96,0","-23,6","96,0","-23,6","96,0"
,135,"-24,3","96,0","-24,3","96,0","-24,9","96,0","-24,9","96,0","-24,9","96,0","-24,9","96,0"
,140,"-25,6","96,0","-25,6","96,0","-26,1","96,0","-26,1","96,0","-26,1","96,0","-26,1","96,0"
,145,"-26,8","96,0","-26,8","96,0","-27,3","96,0","-27,3","96,0","-27,3","96,0","-27,3","96,0"
,150,"-28,0","96,0","-28,0","96,0","-28,6","96,0","-28,6","96,0","-28,6","96,0","-28,6","96,0"
,155,"-29,2","96,0","-29,2","96,0","-29,8","96,0","-29,8","96,0","-29,8","96,0","-29,8","96,0"
,160,"-30,5","96,0","-30,5","96,0","-31,0","96,0","-31,0","96,0","-31,0","96,0","-31,0","96,0"
,165,"-31,7","96,0","-31,7","96,0","-32,2","96,0","-32,2","96,0","-32,2","96,0","-32,2","96,0"
,170,"-32,9","96,0","-32,9","96,0","-33,5","96,0","-33,5","96,0","-33,5","96,0","-33,5","96,0"
,175,"-34,2","96,0","-34,2","96,0","-34,7","96,0","-34,7","96,0","-34,7","96,0","-34,7","96,0"
,180,"-35,4","96,0","-35,4","96,0","-35,9","96,0","-35,9","96,0","-35,9","96,0","-35,9","96,0"
,185,"-36,6","96,0","-36,6","96,0","-37,2","96,0","-37,2","96,0","-37,2","96,0","-37,2","96,0"
,190,"-37,8","96,0","-37,8","96,0","-38,4","96,0","-38,4","96,0","-38,4","96,0","-38,4","96,0"
,195,"-39,1","96,0","-39,1","96,0","-39,6","96,0","-39,6","96,0","-39,6","96,0","-39,6","96,0"
,200,"-40,3","96,0","-40,3","96,0","-40,8","96,0","-40,8","96,0","-40,8","96,0","-40,8","96,0"
,205,"-41,5","96,0","-41,5","96,0","-42,1","96,0","-42,1","96,0","-42,1","96,0","-42,1","96,0"
,210,"-42,8","96,0","-42,8","96,0","-43,3","96,0","-43,3","96,0","-43,3","96,0","-43,3","96,0"
,215,"-44,0","96,0","-44,0","96,0","-44,5","96,0","-44,5","96,0","-44,5","96,0","-44,5","96,0"
,220,"-45,2","96,0","-45,2","96,0","-45,8","96,0","-45,8","96,0","-45,8","96,0","-45,8","96,0"
,225,"-46,5","96,0","-46,5","96,0","-47,0","96,0","-47,0","96,0","-47,0","96,0","-47,0","96,0"
,230,"-47,7","96,0","-47,7","96,0","-48,2","96,0","-48,2","96,0","-48,2","96,0","-48,2","96,0"
,235,"-48,9","96,0","-48,9","96,0","-49,5","96,0","-49,5","96,0","-49,5","96,0","-49,5","96,0"
,240,"-50,1","96,0","-50,1","96,0","-50,7","96,0","-50,7","96,0","-50,7","96,0","-50,7","96,0"
,245,"-51,4","96,0","-51,4","96,0","-51,9","96,0","-51,9","96,0","-51,9","96,0","-51,9","96,0"
