0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1310-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,28",,"1,43","4,94","0,28",,"1,57","5,14","0,28",,"1,57","5,21"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,"∅6/19,5",∅8/10,∅8,,"∅6/17,5","∅8/9,5",∅8,,"∅6/17,5","∅8/9,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-41,2","160,0","-51,5","119,3","-47,1","160,0","-53,7","135,3","-50,8","160,0","-53,7","149,1"
,130,"-43,6","160,0","-54,7","119,3","-49,8","160,0","-56,9","135,3","-53,8","160,0","-56,9","149,1"
,135,"-46,0","160,0","-57,9","119,3","-52,5","160,0","-60,1","135,3","-56,8","160,0","-60,1","149,1"
,140,"-48,4","160,0","-61,0","119,5","-55,2","160,0","-63,3","135,3","-59,8","160,0","-63,3","149,1"
,145,"-50,7","160,0","-63,8","120,8","-57,9","160,0","-66,4","135,3","-62,7","160,0","-66,4","149,1"
,150,"-53,1","160,0","-66,6","122,0","-60,6","160,0","-69,6","135,3","-65,7","160,0","-69,6","149,1"
,155,"-55,5","160,0","-69,4","123,0","-63,3","160,0","-72,8","135,3","-68,7","160,0","-72,8","149,1"
,160,"-57,9","160,0","-72,1","123,9","-66,0","160,0","-76,0","135,3","-71,7","160,0","-76,0","149,1"
,165,"-60,3","160,0","-74,9","124,7","-68,7","160,0","-79,2","135,3","-74,7","160,0","-79,2","149,1"
,170,"-62,7","160,0","-77,7","125,4","-71,4","160,0","-82,4","135,3","-77,6","160,0","-82,4","149,1"
,175,"-65,0","160,0","-80,5","126,1","-74,1","160,0","-85,6","135,3","-80,6","160,0","-85,6","149,1"
,180,"-67,4","160,0","-83,3","126,7","-76,8","160,0","-88,8","135,3","-83,6","160,0","-88,8","149,1"
,185,"-69,8","160,0","-86,1","127,2","-79,5","160,0","-92,0","135,3","-86,6","160,0","-92,0","149,1"
,190,"-72,2","160,0","-88,9","127,7","-82,2","160,0","-95,2","135,3","-89,5","160,0","-95,2","149,1"
,195,"-74,6","160,0","-91,7","128,2","-84,9","160,0","-98,4","135,3","-92,5","160,0","-98,4","149,1"
,200,"-77,0","160,0","-94,4","128,6","-87,6","160,0","-101,6","135,3","-95,5","160,0","-101,6","149,1"
,205,"-79,3","160,0","-97,2","129,0","-90,3","160,0","-104,8","135,3","-98,5","160,0","-104,8","149,1"
,210,"-81,7","160,0","-100,0","129,4","-93,0","160,0","-108,0","135,3","-101,5","160,0","-108,0","149,1"
