0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0709-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,16",,"1,02","4,33","0,16",,"1,10","4,41","0,16",,"1,10","4,41"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,"∅8/11,5",∅8,,∅6/25,∅8/11,∅8,,∅6/25,∅8/11
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-31,0","144,0","-31,0","144,0","-31,7","144,0","-31,7","144,0","-31,7","144,0","-31,7","144,0"
,130,"-32,7","144,0","-32,7","144,0","-33,4","144,0","-33,4","144,0","-33,4","144,0","-33,4","144,0"
,135,"-34,4","144,0","-34,4","144,0","-35,1","144,0","-35,1","144,0","-35,1","144,0","-35,1","144,0"
,140,"-36,1","144,0","-36,1","144,0","-36,8","144,0","-36,8","144,0","-36,8","144,0","-36,8","144,0"
,145,"-37,8","144,0","-37,8","144,0","-38,6","144,0","-38,6","144,0","-38,6","144,0","-38,6","144,0"
,150,"-39,6","144,0","-39,6","144,0","-40,3","144,0","-40,3","144,0","-40,3","144,0","-40,3","144,0"
