0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1010-hh-100-cc,,,,,,,,,,,,,
HIT-HP MVX-0505-hh-050-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,21",,"1,28","4,94","0,21",,"1,39","5,07","0,21",,"1,39","5,07"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/22,∅8/10,∅8,,∅6/20,"∅8/9,5",∅8,,∅6/20,"∅8/9,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-41,2","160,0","-42,3","156,2","-43,6","160,0","-43,6","160,0","-43,6","160,0","-43,6","160,0"
,130,"-43,6","160,0","-44,7","156,2","-46,0","160,0","-46,0","160,0","-46,0","160,0","-46,0","160,0"
,135,"-46,0","160,0","-47,2","156,2","-48,5","160,0","-48,5","160,0","-48,5","160,0","-48,5","160,0"
,140,"-48,4","160,0","-49,4","157,0","-50,9","160,0","-50,9","160,0","-50,9","160,0","-50,9","160,0"
,145,"-50,7","160,0","-51,5","157,9","-53,4","160,0","-53,4","160,0","-53,4","160,0","-53,4","160,0"
,150,"-53,1","160,0","-53,6","158,6","-55,8","160,0","-55,8","160,0","-55,8","160,0","-55,8","160,0"
