0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1209-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,28",,"1,30","4,57","0,28",,"1,43","4,74","0,28",,"1,43","4,74"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,"∅6/21,5",∅8/11,∅8,,"∅6/19,5","∅8/10,5",∅8,,"∅6/19,5","∅8/10,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-44,3","144,0","-47,1","131,6","-49,2","144,0","-49,2","144,0","-49,2","144,0","-49,2","144,0"
,130,"-47,0","144,0","-50,1","131,6","-52,2","144,0","-52,2","144,0","-52,2","144,0","-52,2","144,0"
,135,"-49,7","144,0","-53,0","131,6","-55,1","144,0","-55,1","144,0","-55,1","144,0","-55,1","144,0"
,140,"-52,4","144,0","-56,0","131,6","-58,1","144,0","-58,1","144,0","-58,1","144,0","-58,1","144,0"
,145,"-55,1","144,0","-58,9","131,6","-61,0","144,0","-61,0","144,0","-61,0","144,0","-61,0","144,0"
,150,"-57,8","144,0","-61,9","131,6","-64,0","144,0","-64,0","144,0","-64,0","144,0","-64,0","144,0"
,155,"-60,5","144,0","-64,8","131,6","-66,9","144,0","-66,9","144,0","-66,9","144,0","-66,9","144,0"
,160,"-63,2","144,0","-67,6","132,3","-69,9","144,0","-69,9","144,0","-69,9","144,0","-69,9","144,0"
,165,"-65,9","144,0","-70,1","133,2","-72,8","144,0","-72,8","144,0","-72,8","144,0","-72,8","144,0"
,170,"-68,6","144,0","-72,7","134,1","-75,8","144,0","-75,8","144,0","-75,8","144,0","-75,8","144,0"
,175,"-71,3","144,0","-75,3","134,8","-78,7","144,0","-78,7","144,0","-78,7","144,0","-78,7","144,0"
,180,"-74,0","144,0","-77,9","135,5","-81,7","144,0","-81,7","144,0","-81,7","144,0","-81,7","144,0"
,185,"-76,7","144,0","-80,4","136,2","-84,6","144,0","-84,6","144,0","-84,6","144,0","-84,6","144,0"
,190,"-79,4","144,0","-83,0","136,7","-87,6","144,0","-87,6","144,0","-87,6","144,0","-87,6","144,0"
,195,"-82,1","144,0","-85,6","137,3","-90,5","144,0","-90,5","144,0","-90,5","144,0","-90,5","144,0"
,200,"-84,8","144,0","-88,2","137,8","-93,5","144,0","-93,5","144,0","-93,5","144,0","-93,5","144,0"
,205,"-87,5","144,0","-90,7","138,2","-96,4","144,0","-96,4","144,0","-96,4","144,0","-96,4","144,0"
,210,"-90,2","144,0","-93,3","138,7","-99,4","144,0","-99,4","144,0","-99,4","144,0","-99,4","144,0"
,215,"-92,9","144,0","-95,9","139,1","-102,3","144,0","-102,3","144,0","-102,3","144,0","-102,3","144,0"
,220,"-95,6","144,0","-98,4","139,4","-105,3","144,0","-105,3","144,0","-105,3","144,0","-105,3","144,0"
,225,"-98,3","144,0","-101,0","139,8","-108,2","144,0","-108,2","144,0","-108,2","144,0","-108,2","144,0"
,230,"-101,0","144,0","-103,6","140,1","-111,2","144,0","-111,2","144,0","-111,2","144,0","-111,2","144,0"
,235,"-103,7","144,0","-106,2","140,4","-114,1","144,0","-114,1","144,0","-114,1","144,0","-114,1","144,0"
,240,"-106,5","144,0","-108,7","140,7","-117,1","144,0","-117,1","144,0","-117,1","144,0","-117,1","144,0"
,245,"-109,2","144,0","-111,3","141,0","-120,0","144,0","-120,0","144,0","-120,0","144,0","-120,0","144,0"
,250,"-111,9","144,0","-113,9","141,2","-123,0","144,0","-123,0","144,0","-123,0","144,0","-123,0","144,0"
,255,"-114,6","144,0","-116,5","141,5","-125,9","144,0","-125,9","144,0","-125,9","144,0","-125,9","144,0"
,260,"-117,3","144,0","-119,0","141,7","-128,9","144,0","-128,9","144,0","-128,9","144,0","-128,9","144,0"
,265,"-120,0","144,0","-121,6","141,9","-131,8","144,0","-131,8","144,0","-131,8","144,0","-131,8","144,0"
,270,"-122,7","144,0","-124,2","142,2","-134,8","144,0","-134,8","144,0","-134,8","144,0","-134,8","144,0"
,275,"-125,4","144,0","-126,8","142,4","-137,7","144,0","-137,7","144,0","-137,7","144,0","-137,7","144,0"
,280,"-128,1","144,0","-129,3","142,5","-140,7","144,0","-140,7","144,0","-140,7","144,0","-140,7","144,0"
,285,"-130,8","144,0","-131,9","142,7","-143,6","144,0","-143,6","144,0","-143,6","144,0","-143,6","144,0"
,290,"-133,5","144,0","-134,5","142,9","-146,6","144,0","-146,6","144,0","-146,6","144,0","-146,6","144,0"
,295,"-136,2","144,0","-137,0","143,1","-149,5","144,0","-149,5","144,0","-149,5","144,0","-149,5","144,0"
,300,"-138,9","144,0","-139,6","143,2","-152,5","144,0","-152,5","144,0","-152,5","144,0","-152,5","144,0"
"cnom=
30mm",310,"-103,3","144,0","-103,3","144,0","-121,1","144,0","-121,1","144,0","-134,7","144,0","-134,7","144,0"
,320,"-107,1","144,0","-107,1","144,0","-125,5","144,0","-125,5","144,0","-139,6","144,0","-139,6","144,0"
"cnom=
35mm",305,"-101,4","144,0","-101,4","144,0","-118,9","144,0","-118,9","144,0","-132,2","144,0","-132,2","144,0"
,315,"-105,2","144,0","-105,2","144,0","-123,3","144,0","-123,3","144,0","-137,2","144,0","-137,2","144,0"
