0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0406-hh-100-cc,,,,,,,,,,,,,
HIT-HP MVX-0203-hh-050-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,14",,"0,63","2,84","0,14",,"0,67","2,88","0,14",,"0,67","2,88"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,"∅8/17,5",∅8,,∅6/25,∅8/17,∅8,,∅6/25,∅8/17
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-18,1","96,0","-18,1","96,0","-18,4","96,0","-18,4","96,0","-18,4","96,0","-18,4","96,0"
,130,"-19,1","96,0","-19,1","96,0","-19,4","96,0","-19,4","96,0","-19,4","96,0","-19,4","96,0"
,135,"-20,1","96,0","-20,1","96,0","-20,4","96,0","-20,4","96,0","-20,4","96,0","-20,4","96,0"
,140,"-21,0","96,0","-21,0","96,0","-21,4","96,0","-21,4","96,0","-21,4","96,0","-21,4","96,0"
,145,"-22,0","96,0","-22,0","96,0","-22,4","96,0","-22,4","96,0","-22,4","96,0","-22,4","96,0"
,150,"-23,0","96,0","-23,0","96,0","-23,4","96,0","-23,4","96,0","-23,4","96,0","-23,4","96,0"
,155,"-24,0","96,0","-24,0","96,0","-24,3","96,0","-24,3","96,0","-24,3","96,0","-24,3","96,0"
,160,"-25,0","96,0","-25,0","96,0","-25,3","96,0","-25,3","96,0","-25,3","96,0","-25,3","96,0"
,165,"-26,0","96,0","-26,0","96,0","-26,3","96,0","-26,3","96,0","-26,3","96,0","-26,3","96,0"
,170,"-26,9","96,0","-26,9","96,0","-27,3","96,0","-27,3","96,0","-27,3","96,0","-27,3","96,0"
