0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1005-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,42",,"0,83","2,63","0,42",,"0,93","2,76","0,42",,"0,93","2,77"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,∅8/19,∅8,,∅6/25,∅8/18,∅8,,∅6/25,∅8/18
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-30,8","80,0","-33,4","47,8","-35,8","80,0","-36,0","79,3","-36,0","80,0","-36,0","80,0"
,130,"-32,9","80,0","-35,8","47,8","-38,3","80,0","-38,4","79,3","-38,4","80,0","-38,4","80,0"
,135,"-35,1","80,0","-38,3","47,8","-40,7","80,0","-40,9","79,3","-40,9","80,0","-40,9","80,0"
,140,"-37,2","80,0","-40,7","47,8","-43,2","80,0","-43,3","79,3","-43,3","80,0","-43,3","80,0"
,145,"-39,3","80,0","-43,2","47,8","-45,6","80,0","-45,8","79,3","-45,8","80,0","-45,8","80,0"
,150,"-41,4","80,0","-45,7","47,8","-48,1","80,0","-48,3","79,3","-48,3","80,0","-48,3","80,0"
,155,"-43,5","80,0","-48,1","47,8","-50,5","80,0","-50,7","79,3","-50,7","80,0","-50,7","80,0"
,160,"-45,6","80,0","-50,6","47,8","-52,9","80,0","-53,2","79,3","-53,2","80,0","-53,2","80,0"
,165,"-47,7","80,0","-53,0","47,8","-55,4","80,0","-55,6","79,3","-55,6","80,0","-55,6","80,0"
,170,"-49,9","80,0","-55,5","47,8","-57,8","80,0","-58,1","79,3","-58,1","80,0","-58,1","80,0"
,175,"-52,0","80,0","-57,9","47,8","-60,3","80,0","-60,6","79,3","-60,6","80,0","-60,6","80,0"
,180,"-54,1","80,0","-60,4","47,8","-62,7","80,0","-63,0","79,3","-63,0","80,0","-63,0","80,0"
,185,"-56,2","80,0","-62,9","47,8","-65,2","80,0","-65,5","79,3","-65,5","80,0","-65,5","80,0"
,190,"-58,3","80,0","-65,3","47,8","-67,6","80,0","-67,9","79,3","-67,9","80,0","-67,9","80,0"
,195,"-60,4","80,0","-67,8","47,8","-70,1","80,0","-70,4","79,3","-70,4","80,0","-70,4","80,0"
,200,"-62,5","80,0","-70,2","47,8","-72,5","80,0","-72,9","79,3","-72,9","80,0","-72,9","80,0"
,205,"-64,7","80,0","-72,7","47,8","-74,9","80,0","-75,3","79,3","-75,3","80,0","-75,3","80,0"
,210,"-66,8","80,0","-75,2","47,8","-77,4","80,0","-77,8","79,3","-77,8","80,0","-77,8","80,0"
,215,"-68,9","80,0","-77,6","47,8","-79,8","80,0","-80,2","79,3","-80,2","80,0","-80,2","80,0"
,220,"-71,0","80,0","-80,1","47,8","-82,3","80,0","-82,7","79,3","-82,7","80,0","-82,7","80,0"
,225,"-73,1","80,0","-82,5","47,8","-84,7","80,0","-85,1","79,3","-85,1","80,0","-85,1","80,0"
,230,"-75,2","80,0","-85,0","47,8","-87,2","80,0","-87,6","79,3","-87,6","80,0","-87,6","80,0"
,235,"-77,4","80,0","-87,5","47,8","-89,6","80,0","-90,1","79,3","-90,1","80,0","-90,1","80,0"
,240,"-79,5","80,0","-89,9","47,8","-92,0","80,0","-92,5","79,3","-92,5","80,0","-92,5","80,0"
,245,"-81,6","80,0","-92,4","47,8","-94,5","80,0","-95,0","79,3","-95,0","80,0","-95,0","80,0"
,250,"-83,7","80,0","-94,8","47,8","-96,9","80,0","-97,4","79,3","-97,4","80,0","-97,4","80,0"
,255,"-85,8","80,0","-97,3","47,8","-99,4","80,0","-99,9","79,3","-99,9","80,0","-99,9","80,0"
,260,"-87,9","80,0","-99,7","47,8","-101,8","80,0","-102,4","79,3","-102,4","80,0","-102,4","80,0"
,265,"-90,0","80,0","-102,2","47,8","-104,3","80,0","-104,8","79,3","-104,8","80,0","-104,8","80,0"
,270,"-92,2","80,0","-104,7","47,8","-106,7","80,0","-107,3","79,3","-107,3","80,0","-107,3","80,0"
,275,"-94,3","80,0","-107,1","47,8","-109,2","80,0","-109,7","79,3","-109,7","80,0","-109,7","80,0"
,280,"-96,4","80,0","-109,4","48,3","-111,6","80,0","-112,2","79,3","-112,2","80,0","-112,2","80,0"
,285,"-98,5","80,0","-111,5","49,2","-114,0","80,0","-114,6","79,3","-114,6","80,0","-114,6","80,0"
,290,"-100,6","80,0","-113,7","50,1","-116,5","80,0","-117,1","79,3","-117,1","80,0","-117,1","80,0"
,295,"-102,7","80,0","-115,8","50,9","-118,9","80,0","-119,6","79,3","-119,6","80,0","-119,6","80,0"
,300,"-104,8","80,0","-118,0","51,6","-121,4","80,0","-122,0","79,3","-122,0","80,0","-122,0","80,0"
"cnom=
30mm",310,"-87,2","80,0","-87,2","80,0","-101,6","80,0","-101,6","80,0","-112,2","80,0","-112,2","80,0"
,320,"-90,5","80,0","-90,5","80,0","-105,5","80,0","-105,5","80,0","-116,4","80,0","-116,4","80,0"
"cnom=
35mm",305,"-85,6","80,0","-85,6","80,0","-99,7","80,0","-99,7","80,0","-110,0","80,0","-110,0","80,0"
,315,"-88,9","80,0","-88,9","80,0","-103,5","80,0","-103,5","80,0","-114,3","80,0","-114,3","80,0"
