0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-1212-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,21",,"1,52","5,59","0,21",,"1,67","5,80","0,21",,"1,67","5,90"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,"∅6/18,5","∅8/8,5",∅8,,"∅6/16,5","∅8/8,5",∅8,,"∅6/16,5","∅8/8,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-32,5","192,0","-49,6","135,8","-38,5","192,0","-52,3","147,6","-42,9","192,0","-52,3","161,4"
,130,"-34,3","192,0","-52,1","136,8","-40,5","192,0","-55,2","147,6","-45,3","192,0","-55,2","161,4"
,135,"-36,0","192,0","-54,7","137,7","-42,6","192,0","-58,2","147,6","-47,6","192,0","-58,2","161,4"
,140,"-37,8","192,0","-57,3","138,4","-44,7","192,0","-61,1","147,6","-49,9","192,0","-61,1","161,4"
,145,"-39,5","192,0","-59,8","139,1","-46,7","192,0","-64,1","147,6","-52,3","192,0","-64,1","161,4"
,150,"-41,2","192,0","-62,4","139,7","-48,8","192,0","-67,0","147,6","-54,6","192,0","-67,0","161,4"
,155,"-43,0","192,0","-65,0","140,2","-50,8","192,0","-70,0","147,6","-57,0","192,0","-70,0","161,4"
,160,"-44,7","192,0","-67,6","140,7","-52,9","192,0","-72,9","147,6","-59,3","192,0","-72,9","161,4"
,165,"-46,5","192,0","-70,1","141,2","-55,0","192,0","-75,9","147,6","-61,6","192,0","-75,9","161,4"
,170,"-48,2","192,0","-72,7","141,6","-57,0","192,0","-78,8","147,6","-64,0","192,0","-78,8","161,4"
