0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0408-hh-100-cc,,,,,,,,,,,,,
HIT-HP MVX-0204-hh-050-cc,,,,,,,,,,,,,
HIT-HP MVX-0102-hh-025-cc,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,11",,"0,71","3,38","0,11",,"0,75","3,53","0,11",,"0,75","3,53"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,"∅8/14,5",∅8,,∅6/25,∅8/14,∅8,,∅6/25,∅8/14
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-18,7","116,1","-18,7","116,1","-18,9","120,9","-18,9","120,9","-18,9","120,9","-18,9","120,9"
,130,"-19,7","116,1","-19,7","116,1","-19,9","120,9","-19,9","120,9","-19,9","120,9","-19,9","120,9"
,135,"-20,6","116,1","-20,6","116,1","-20,9","120,9","-20,9","120,9","-20,9","120,9","-20,9","120,9"
,140,"-21,6","116,1","-21,6","116,1","-21,9","120,9","-21,9","120,9","-21,9","120,9","-21,9","120,9"
,145,"-22,6","116,1","-22,6","116,1","-22,9","120,9","-22,9","120,9","-22,9","120,9","-22,9","120,9"
,150,"-23,6","116,1","-23,6","116,1","-23,9","120,9","-23,9","120,9","-23,9","120,9","-23,9","120,9"
,155,"-24,6","116,1","-24,6","116,1","-24,8","120,9","-24,8","120,9","-24,8","120,9","-24,8","120,9"
,160,"-25,6","116,1","-25,6","116,1","-25,8","120,9","-25,8","120,9","-25,8","120,9","-25,8","120,9"
,165,"-26,5","116,1","-26,5","116,1","-26,8","120,9","-26,8","120,9","-26,8","120,9","-26,8","120,9"
,170,"-27,5","116,1","-27,5","116,1","-27,8","120,9","-27,8","120,9","-27,8","120,9","-27,8","120,9"
,175,"-28,5","116,1","-28,5","116,1","-28,8","120,9","-28,8","120,9","-28,8","120,9","-28,8","120,9"
,180,"-29,5","116,1","-29,5","116,1","-29,8","120,9","-29,8","120,9","-29,8","120,9","-29,8","120,9"
,185,"-30,5","116,1","-30,5","116,1","-30,7","120,9","-30,7","120,9","-30,7","120,9","-30,7","120,9"
,190,"-31,5","116,1","-31,5","116,1","-31,7","120,9","-31,7","120,9","-31,7","120,9","-31,7","120,9"
,195,"-32,4","116,1","-32,4","116,1","-32,7","120,9","-32,7","120,9","-32,7","120,9","-32,7","120,9"
,200,"-33,4","116,1","-33,4","116,1","-33,7","120,9","-33,7","120,9","-33,7","120,9","-33,7","120,9"
