0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0704-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,37",,"0,64","2,10","0,37",,"0,71","2,18","0,37",,"0,71","2,18"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,∅6/13,∅8,,∅6/25,"∅6/12,5",∅8,,∅6/25,"∅6/12,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-24,7","64,0","-24,9","61,7","-26,5","64,0","-26,5","64,0","-26,5","64,0","-26,5","64,0"
,130,"-26,3","64,0","-26,6","61,7","-28,2","64,0","-28,2","64,0","-28,2","64,0","-28,2","64,0"
,135,"-28,0","64,0","-28,4","61,7","-29,9","64,0","-29,9","64,0","-29,9","64,0","-29,9","64,0"
,140,"-29,7","64,0","-30,1","61,7","-31,7","64,0","-31,7","64,0","-31,7","64,0","-31,7","64,0"
,145,"-31,4","64,0","-31,8","61,7","-33,4","64,0","-33,4","64,0","-33,4","64,0","-33,4","64,0"
,150,"-33,1","64,0","-33,5","61,7","-35,1","64,0","-35,1","64,0","-35,1","64,0","-35,1","64,0"
,155,"-34,8","64,0","-35,2","61,7","-36,8","64,0","-36,8","64,0","-36,8","64,0","-36,8","64,0"
,160,"-36,5","64,0","-37,0","61,7","-38,6","64,0","-38,6","64,0","-38,6","64,0","-38,6","64,0"
,165,"-38,2","64,0","-38,7","61,7","-40,3","64,0","-40,3","64,0","-40,3","64,0","-40,3","64,0"
,170,"-39,9","64,0","-40,4","61,7","-42,0","64,0","-42,0","64,0","-42,0","64,0","-42,0","64,0"
,175,"-41,6","64,0","-42,1","61,7","-43,7","64,0","-43,7","64,0","-43,7","64,0","-43,7","64,0"
,180,"-43,3","64,0","-43,8","61,7","-45,4","64,0","-45,4","64,0","-45,4","64,0","-45,4","64,0"
,185,"-44,9","64,0","-45,6","61,7","-47,2","64,0","-47,2","64,0","-47,2","64,0","-47,2","64,0"
,190,"-46,6","64,0","-47,3","61,7","-48,9","64,0","-48,9","64,0","-48,9","64,0","-48,9","64,0"
,195,"-48,3","64,0","-49,0","61,7","-50,6","64,0","-50,6","64,0","-50,6","64,0","-50,6","64,0"
,200,"-50,0","64,0","-50,7","61,7","-52,3","64,0","-52,3","64,0","-52,3","64,0","-52,3","64,0"
,205,"-51,7","64,0","-52,4","61,7","-54,0","64,0","-54,0","64,0","-54,0","64,0","-54,0","64,0"
,210,"-53,4","64,0","-54,2","61,7","-55,8","64,0","-55,8","64,0","-55,8","64,0","-55,8","64,0"
,215,"-55,1","64,0","-55,9","61,7","-57,5","64,0","-57,5","64,0","-57,5","64,0","-57,5","64,0"
,220,"-56,8","64,0","-57,6","61,7","-59,2","64,0","-59,2","64,0","-59,2","64,0","-59,2","64,0"
,225,"-58,5","64,0","-59,3","61,7","-60,9","64,0","-60,9","64,0","-60,9","64,0","-60,9","64,0"
,230,"-60,2","64,0","-61,1","61,7","-62,6","64,0","-62,6","64,0","-62,6","64,0","-62,6","64,0"
,235,"-61,9","64,0","-62,8","61,7","-64,4","64,0","-64,4","64,0","-64,4","64,0","-64,4","64,0"
,240,"-63,5","64,0","-64,5","61,7","-66,1","64,0","-66,1","64,0","-66,1","64,0","-66,1","64,0"
,245,"-65,2","64,0","-66,2","61,7","-67,8","64,0","-67,8","64,0","-67,8","64,0","-67,8","64,0"
,250,"-66,9","64,0","-67,9","61,7","-69,5","64,0","-69,5","64,0","-69,5","64,0","-69,5","64,0"
,255,"-68,6","64,0","-69,7","61,7","-71,3","64,0","-71,3","64,0","-71,3","64,0","-71,3","64,0"
,260,"-70,3","64,0","-71,4","61,7","-73,0","64,0","-73,0","64,0","-73,0","64,0","-73,0","64,0"
,265,"-72,0","64,0","-73,1","61,7","-74,7","64,0","-74,7","64,0","-74,7","64,0","-74,7","64,0"
,270,"-73,7","64,0","-74,8","61,7","-76,4","64,0","-76,4","64,0","-76,4","64,0","-76,4","64,0"
,275,"-75,4","64,0","-76,5","61,7","-78,1","64,0","-78,1","64,0","-78,1","64,0","-78,1","64,0"
,280,"-77,1","64,0","-78,3","61,7","-79,9","64,0","-79,9","64,0","-79,9","64,0","-79,9","64,0"
,285,"-78,8","64,0","-80,0","61,7","-81,6","64,0","-81,6","64,0","-81,6","64,0","-81,6","64,0"
,290,"-80,5","64,0","-81,7","61,7","-83,3","64,0","-83,3","64,0","-83,3","64,0","-83,3","64,0"
,295,"-82,1","64,0","-83,4","61,7","-85,0","64,0","-85,0","64,0","-85,0","64,0","-85,0","64,0"
,300,"-83,8","64,0","-85,1","61,7","-86,7","64,0","-86,7","64,0","-86,7","64,0","-86,7","64,0"
"cnom=
30mm",310,"-84,7","64,0","-84,7","64,0","-90,2","64,0","-90,2","64,0","-90,2","64,0","-90,2","64,0"
,320,"-87,9","64,0","-87,9","64,0","-93,6","64,0","-93,6","64,0","-93,6","64,0","-93,6","64,0"
"cnom=
35mm",305,"-83,0","64,0","-83,0","64,0","-88,5","64,0","-88,5","64,0","-88,5","64,0","-88,5","64,0"
,315,"-86,3","64,0","-86,3","64,0","-91,9","64,0","-91,9","64,0","-91,9","64,0","-91,9","64,0"
