0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0706-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,25",,"0,82","3,03","0,25",,"0,90","3,11","0,25",,"0,90","3,11"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,"∅8/16,5",∅8,,∅6/25,∅8/16,∅8,,∅6/25,∅8/16
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-28,5","96,0","-28,5","96,0","-29,6","96,0","-29,6","96,0","-29,6","96,0","-29,6","96,0"
,130,"-30,3","96,0","-30,3","96,0","-31,3","96,0","-31,3","96,0","-31,3","96,0","-31,3","96,0"
,135,"-32,0","96,0","-32,0","96,0","-33,0","96,0","-33,0","96,0","-33,0","96,0","-33,0","96,0"
,140,"-33,7","96,0","-33,7","96,0","-34,8","96,0","-34,8","96,0","-34,8","96,0","-34,8","96,0"
,145,"-35,4","96,0","-35,4","96,0","-36,5","96,0","-36,5","96,0","-36,5","96,0","-36,5","96,0"
,150,"-37,1","96,0","-37,1","96,0","-38,2","96,0","-38,2","96,0","-38,2","96,0","-38,2","96,0"
,155,"-38,9","96,0","-38,9","96,0","-39,9","96,0","-39,9","96,0","-39,9","96,0","-39,9","96,0"
,160,"-40,6","96,0","-40,6","96,0","-41,7","96,0","-41,7","96,0","-41,7","96,0","-41,7","96,0"
,165,"-42,3","96,0","-42,3","96,0","-43,4","96,0","-43,4","96,0","-43,4","96,0","-43,4","96,0"
,170,"-44,0","96,0","-44,0","96,0","-45,1","96,0","-45,1","96,0","-45,1","96,0","-45,1","96,0"
,175,"-45,7","96,0","-45,7","96,0","-46,8","96,0","-46,8","96,0","-46,8","96,0","-46,8","96,0"
,180,"-47,5","96,0","-47,5","96,0","-48,5","96,0","-48,5","96,0","-48,5","96,0","-48,5","96,0"
,185,"-49,2","96,0","-49,2","96,0","-50,3","96,0","-50,3","96,0","-50,3","96,0","-50,3","96,0"
,190,"-50,9","96,0","-50,9","96,0","-52,0","96,0","-52,0","96,0","-52,0","96,0","-52,0","96,0"
,195,"-52,6","96,0","-52,6","96,0","-53,7","96,0","-53,7","96,0","-53,7","96,0","-53,7","96,0"
,200,"-54,4","96,0","-54,4","96,0","-55,4","96,0","-55,4","96,0","-55,4","96,0","-55,4","96,0"
,205,"-56,1","96,0","-56,1","96,0","-57,1","96,0","-57,1","96,0","-57,1","96,0","-57,1","96,0"
,210,"-57,8","96,0","-57,8","96,0","-58,9","96,0","-58,9","96,0","-58,9","96,0","-58,9","96,0"
,215,"-59,5","96,0","-59,5","96,0","-60,6","96,0","-60,6","96,0","-60,6","96,0","-60,6","96,0"
,220,"-61,2","96,0","-61,2","96,0","-62,3","96,0","-62,3","96,0","-62,3","96,0","-62,3","96,0"
,225,"-63,0","96,0","-63,0","96,0","-64,0","96,0","-64,0","96,0","-64,0","96,0","-64,0","96,0"
,230,"-64,7","96,0","-64,7","96,0","-65,7","96,0","-65,7","96,0","-65,7","96,0","-65,7","96,0"
,235,"-66,4","96,0","-66,4","96,0","-67,5","96,0","-67,5","96,0","-67,5","96,0","-67,5","96,0"
,240,"-68,1","96,0","-68,1","96,0","-69,2","96,0","-69,2","96,0","-69,2","96,0","-69,2","96,0"
,245,"-69,8","96,0","-69,8","96,0","-70,9","96,0","-70,9","96,0","-70,9","96,0","-70,9","96,0"
,250,"-71,6","96,0","-71,6","96,0","-72,6","96,0","-72,6","96,0","-72,6","96,0","-72,6","96,0"
,255,"-73,3","96,0","-73,3","96,0","-74,4","96,0","-74,4","96,0","-74,4","96,0","-74,4","96,0"
,260,"-75,0","96,0","-75,0","96,0","-76,1","96,0","-76,1","96,0","-76,1","96,0","-76,1","96,0"
,265,"-76,7","96,0","-76,7","96,0","-77,8","96,0","-77,8","96,0","-77,8","96,0","-77,8","96,0"
,270,"-78,4","96,0","-78,4","96,0","-79,5","96,0","-79,5","96,0","-79,5","96,0","-79,5","96,0"
,275,"-80,2","96,0","-80,2","96,0","-81,2","96,0","-81,2","96,0","-81,2","96,0","-81,2","96,0"
,280,"-81,9","96,0","-81,9","96,0","-83,0","96,0","-83,0","96,0","-83,0","96,0","-83,0","96,0"
,285,"-83,6","96,0","-83,6","96,0","-84,7","96,0","-84,7","96,0","-84,7","96,0","-84,7","96,0"
,290,"-85,3","96,0","-85,3","96,0","-86,4","96,0","-86,4","96,0","-86,4","96,0","-86,4","96,0"
,295,"-87,1","96,0","-87,1","96,0","-88,1","96,0","-88,1","96,0","-88,1","96,0","-88,1","96,0"
,300,"-88,8","96,0","-88,8","96,0","-89,8","96,0","-89,8","96,0","-89,8","96,0","-89,8","96,0"
"cnom=
30mm",310,"-85,4","96,0","-85,4","96,0","-93,3","96,0","-93,3","96,0","-93,3","96,0","-93,3","96,0"
,320,"-88,5","96,0","-88,5","96,0","-96,7","96,0","-96,7","96,0","-96,7","96,0","-96,7","96,0"
"cnom=
35mm",305,"-83,8","96,0","-83,8","96,0","-91,6","96,0","-91,6","96,0","-91,6","96,0","-91,6","96,0"
,315,"-87,0","96,0","-87,0","96,0","-95,0","96,0","-95,0","96,0","-95,0","96,0","-95,0","96,0"
