0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0911-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,17",,"1,28","5,28","0,17",,"1,38","5,43","0,17",,"1,38","5,43"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/22,"∅8/9,5",∅8,,∅6/20,∅8/9,∅8,,∅6/20,∅8/9
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-37,2","176,0","-39,4","168,9","-40,4","176,0","-40,4","176,0","-40,4","176,0","-40,4","176,0"
,130,"-39,3","176,0","-41,3","169,8","-42,7","176,0","-42,7","176,0","-42,7","176,0","-42,7","176,0"
,135,"-41,3","176,0","-43,2","170,5","-44,9","176,0","-44,9","176,0","-44,9","176,0","-44,9","176,0"
,140,"-43,4","176,0","-45,1","171,2","-47,1","176,0","-47,1","176,0","-47,1","176,0","-47,1","176,0"
,145,"-45,5","176,0","-47,1","171,8","-49,3","176,0","-49,3","176,0","-49,3","176,0","-49,3","176,0"
,150,"-47,5","176,0","-49,0","172,3","-51,5","176,0","-51,5","176,0","-51,5","176,0","-51,5","176,0"
,155,"-49,6","176,0","-50,9","172,8","-53,7","176,0","-53,7","176,0","-53,7","176,0","-53,7","176,0"
,160,"-51,7","176,0","-52,9","173,3","-55,9","176,0","-55,9","176,0","-55,9","176,0","-55,9","176,0"
,165,"-53,7","176,0","-54,8","173,7","-58,1","176,0","-58,1","176,0","-58,1","176,0","-58,1","176,0"
,170,"-55,8","176,0","-56,7","174,1","-60,4","176,0","-60,4","176,0","-60,4","176,0","-60,4","176,0"
,175,"-57,8","176,0","-58,7","174,4","-62,6","176,0","-62,6","176,0","-62,6","176,0","-62,6","176,0"
,180,"-59,9","176,0","-60,6","174,7","-64,8","176,0","-64,8","176,0","-64,8","176,0","-64,8","176,0"
,185,"-62,0","176,0","-62,5","175,0","-67,0","176,0","-67,0","176,0","-67,0","176,0","-67,0","176,0"
,190,"-64,0","176,0","-64,4","175,3","-69,2","176,0","-69,2","176,0","-69,2","176,0","-69,2","176,0"
,195,"-66,1","176,0","-66,4","175,5","-71,4","176,0","-71,4","176,0","-71,4","176,0","-71,4","176,0"
,200,"-68,2","176,0","-68,3","175,8","-73,6","176,0","-73,6","176,0","-73,6","176,0","-73,6","176,0"
,205,"-70,2","176,0","-70,2","176,0","-75,8","176,0","-75,8","176,0","-75,8","176,0","-75,8","176,0"
,210,"-72,2","176,0","-72,2","176,0","-78,1","176,0","-78,1","176,0","-78,1","176,0","-78,1","176,0"
,215,"-74,1","176,0","-74,1","176,0","-80,3","176,0","-80,3","176,0","-80,3","176,0","-80,3","176,0"
,220,"-76,0","176,0","-76,0","176,0","-82,5","176,0","-82,5","176,0","-82,5","176,0","-82,5","176,0"
,225,"-78,0","176,0","-78,0","176,0","-84,7","176,0","-84,7","176,0","-84,7","176,0","-84,7","176,0"
,230,"-79,9","176,0","-79,9","176,0","-86,9","176,0","-86,9","176,0","-86,9","176,0","-86,9","176,0"
,235,"-81,8","176,0","-81,8","176,0","-89,1","176,0","-89,1","176,0","-89,1","176,0","-89,1","176,0"
,240,"-83,7","176,0","-83,7","176,0","-91,3","176,0","-91,3","176,0","-91,3","176,0","-91,3","176,0"
,245,"-85,7","176,0","-85,7","176,0","-93,5","176,0","-93,5","176,0","-93,5","176,0","-93,5","176,0"
,250,"-87,6","176,0","-87,6","176,0","-95,8","176,0","-95,8","176,0","-95,8","176,0","-95,8","176,0"
,255,"-89,5","176,0","-89,5","176,0","-98,0","176,0","-98,0","176,0","-98,0","176,0","-98,0","176,0"
,260,"-91,5","176,0","-91,5","176,0","-100,2","176,0","-100,2","176,0","-100,2","176,0","-100,2","176,0"
,265,"-93,4","176,0","-93,4","176,0","-102,4","176,0","-102,4","176,0","-102,4","176,0","-102,4","176,0"
,270,"-95,3","176,0","-95,3","176,0","-104,6","176,0","-104,6","176,0","-104,6","176,0","-104,6","176,0"
,275,"-97,3","176,0","-97,3","176,0","-106,8","176,0","-106,8","176,0","-106,8","176,0","-106,8","176,0"
,280,"-99,2","176,0","-99,2","176,0","-109,0","176,0","-109,0","176,0","-109,0","176,0","-109,0","176,0"
,285,"-101,1","176,0","-101,1","176,0","-111,2","176,0","-111,2","176,0","-111,2","176,0","-111,2","176,0"
,290,"-103,0","176,0","-103,0","176,0","-113,5","176,0","-113,5","176,0","-113,5","176,0","-113,5","176,0"
,295,"-105,0","176,0","-105,0","176,0","-115,7","176,0","-115,7","176,0","-115,7","176,0","-115,7","176,0"
,300,"-106,9","176,0","-106,9","176,0","-117,9","176,0","-117,9","176,0","-117,9","176,0","-117,9","176,0"
"cnom=
30mm",310,"-79,2","165,0","-79,2","165,0","-91,6","176,0","-91,6","176,0","-102,3","176,0","-102,3","176,0"
,320,"-82,0","165,0","-82,0","165,0","-94,9","176,0","-94,9","176,0","-106,0","176,0","-106,0","176,0"
"cnom=
35mm",305,"-77,8","165,0","-77,8","165,0","-89,9","176,0","-89,9","176,0","-100,5","176,0","-100,5","176,0"
,315,"-80,6","165,0","-80,6","165,0","-93,2","176,0","-93,2","176,0","-104,1","176,0","-104,1","176,0"
