mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-45.4,128.0,20/25,50,175,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-50
-45.4,128.0,20/25,30,155,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-15.5-100-30
-45.4,128.0,20/25,35,160,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-35
-45.4,128.0,20/25,40,165,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-40
-45.4,128.0,20/25,45,170,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-45
-45.4,128.0,20/25,50,175,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-50
-45.4,128.0,20/25,30,155,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-15.5-100-30
-45.4,128.0,20/25,35,160,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-35
-45.4,128.0,20/25,40,165,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-40
-45.4,128.0,20/25,45,170,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-45
-47.7,128.0,25/30,50,175,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-50
-47.7,128.0,25/30,30,155,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-15.5-100-30
-47.7,128.0,25/30,35,160,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-35
-47.7,128.0,25/30,40,165,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-40
-47.7,128.0,25/30,45,170,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-45
-47.7,128.0,25/30,50,175,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-50
-47.7,128.0,25/30,30,155,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-15.5-100-30
-47.7,128.0,25/30,35,160,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-35
-47.7,128.0,25/30,40,165,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-40
-47.7,128.0,25/30,45,170,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-45
-47.7,128.0,30/37,50,175,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-50
-47.7,128.0,30/37,30,155,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-15.5-100-30
-47.7,128.0,30/37,35,160,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-35
-47.7,128.0,30/37,40,165,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-40
-47.7,128.0,30/37,45,170,125,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-45
-47.7,128.0,30/37,50,175,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-50
-47.7,128.0,30/37,30,155,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-15.5-100-30
-47.7,128.0,30/37,35,160,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-35
-47.7,128.0,30/37,40,165,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-40
-47.7,128.0,30/37,45,170,125,2,2,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-45
-48.3,128.0,20/25,50,180,130,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-18.0-100-50
-48.3,128.0,20/25,30,160,130,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.0-100-30
-48.3,128.0,20/25,35,165,130,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-16.5-100-35
-48.3,128.0,20/25,40,170,130,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.0-100-40
-48.3,128.0,20/25,45,175,130,1,1,HIT-HP MVX-1208-hh-100-cc,HIT-HP MVX-1208-17.5-100-45
