mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-45.5,176.0,25/30,35,165,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-35
-45.5,176.0,25/30,40,170,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-40
-45.5,176.0,25/30,45,175,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-45
-58.0,135.3,25/30,50,180,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-50
-58.0,135.3,25/30,30,160,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-30
-58.0,135.3,25/30,35,165,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-35
-58.0,135.3,25/30,40,170,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-40
-58.0,135.3,25/30,45,175,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-45
-49.9,176.0,30/37,50,180,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-50
-49.9,176.0,30/37,30,160,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-30
-49.9,176.0,30/37,35,165,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-35
-49.9,176.0,30/37,40,170,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-40
-49.9,176.0,30/37,45,175,130,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-45
-58.0,149.1,30/37,50,180,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-50
-58.0,149.1,30/37,30,160,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-30
-58.0,149.1,30/37,35,165,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-35
-58.0,149.1,30/37,40,170,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-40
-58.0,149.1,30/37,45,175,130,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-45
-41.3,176.0,20/25,50,185,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-50
-41.3,176.0,20/25,30,165,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-30
-41.3,176.0,20/25,35,170,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-35
-41.3,176.0,20/25,40,175,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-40
-41.3,176.0,20/25,45,180,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-45
-58.2,122.9,20/25,50,185,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-50
-58.2,122.9,20/25,30,165,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-30
-58.2,122.9,20/25,35,170,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-35
-58.2,122.9,20/25,40,175,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-40
-58.2,122.9,20/25,45,180,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-45
-47.9,176.0,25/30,50,185,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-50
-47.9,176.0,25/30,30,165,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-30
-47.9,176.0,25/30,35,170,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-35
-47.9,176.0,25/30,40,175,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-40
-47.9,176.0,25/30,45,180,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-45
