mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-20.0,64.0,20/25,50,175,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-50
-20.0,64.0,20/25,30,155,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-15.5-100-30
-20.0,64.0,20/25,35,160,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-35
-20.0,64.0,20/25,40,165,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-40
-20.0,64.0,20/25,45,170,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-45
-20.0,64.0,20/25,50,175,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-50
-20.0,64.0,20/25,30,155,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-15.5-100-30
-20.0,64.0,20/25,35,160,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-35
-20.0,64.0,20/25,40,165,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-40
-20.0,64.0,20/25,45,170,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-45
-20.8,64.0,25/30,50,175,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-50
-20.8,64.0,25/30,30,155,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-15.5-100-30
-20.8,64.0,25/30,35,160,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-35
-20.8,64.0,25/30,40,165,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-40
-20.8,64.0,25/30,45,170,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-45
-20.8,64.0,25/30,50,175,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-50
-20.8,64.0,25/30,30,155,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-15.5-100-30
-20.8,64.0,25/30,35,160,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-35
-20.8,64.0,25/30,40,165,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-40
-20.8,64.0,25/30,45,170,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-45
-20.8,64.0,30/37,50,175,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-50
-20.8,64.0,30/37,30,155,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-15.5-100-30
-20.8,64.0,30/37,35,160,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-35
-20.8,64.0,30/37,40,165,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-40
-20.8,64.0,30/37,45,170,125,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-45
-20.8,64.0,30/37,50,175,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-50
-20.8,64.0,30/37,30,155,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-15.5-100-30
-20.8,64.0,30/37,35,160,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-35
-20.8,64.0,30/37,40,165,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-40
-20.8,64.0,30/37,45,170,125,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-45
-21.2,64.0,20/25,50,180,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-18.0-100-50
-21.2,64.0,20/25,30,160,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-30
-21.2,64.0,20/25,35,165,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-35
-21.2,64.0,20/25,40,170,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-40
-21.2,64.0,20/25,45,175,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-45
-21.2,64.0,20/25,50,180,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-18.0-100-50
-21.2,64.0,20/25,30,160,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-30
-21.2,64.0,20/25,35,165,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-35
-21.2,64.0,20/25,40,170,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-40
-21.2,64.0,20/25,45,175,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-45
-22.1,64.0,25/30,50,180,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-18.0-100-50
-22.1,64.0,25/30,30,160,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-30
-22.1,64.0,25/30,35,165,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-35
-22.1,64.0,25/30,40,170,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-40
-22.1,64.0,25/30,45,175,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-45
-22.1,64.0,25/30,50,180,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-18.0-100-50
-22.1,64.0,25/30,30,160,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-30
-22.1,64.0,25/30,35,165,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-35
-22.1,64.0,25/30,40,170,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-40
-22.1,64.0,25/30,45,175,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-45
-22.1,64.0,30/37,50,180,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-18.0-100-50
-22.1,64.0,30/37,30,160,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-30
-22.1,64.0,30/37,35,165,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-35
-22.1,64.0,30/37,40,170,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.0-100-40
-22.1,64.0,30/37,45,175,130,1,1,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-17.5-100-45
-22.1,64.0,30/37,50,180,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-18.0-100-50
-22.1,64.0,30/37,30,160,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.0-100-30
-22.1,64.0,30/37,35,165,130,2,2,HIT-HP MVX-0504-hh-100-cc,HIT-HP MVX-0504-16.5-100-35
