mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-41.3,144.0,20/25,50,175,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.5-100-50
-41.3,144.0,20/25,30,155,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-15.5-100-30
-41.3,144.0,20/25,35,160,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.0-100-35
-41.3,144.0,20/25,40,165,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.5-100-40
-41.3,144.0,20/25,45,170,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.0-100-45
-41.3,144.0,20/25,50,175,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.5-100-50
-41.3,144.0,20/25,30,155,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-15.5-100-30
-41.3,144.0,20/25,35,160,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.0-100-35
-41.3,144.0,20/25,40,165,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.5-100-40
-41.3,144.0,20/25,45,170,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.0-100-45
-42.7,144.0,25/30,50,175,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.5-100-50
-42.7,144.0,25/30,30,155,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-15.5-100-30
-42.7,144.0,25/30,35,160,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.0-100-35
-42.7,144.0,25/30,40,165,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.5-100-40
-42.7,144.0,25/30,45,170,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.0-100-45
-42.7,144.0,25/30,50,175,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.5-100-50
-42.7,144.0,25/30,30,155,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-15.5-100-30
-42.7,144.0,25/30,35,160,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.0-100-35
-42.7,144.0,25/30,40,165,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.5-100-40
-42.7,144.0,25/30,45,170,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.0-100-45
-42.7,144.0,30/37,50,175,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.5-100-50
-42.7,144.0,30/37,30,155,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-15.5-100-30
-42.7,144.0,30/37,35,160,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.0-100-35
-42.7,144.0,30/37,40,165,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.5-100-40
-42.7,144.0,30/37,45,170,125,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.0-100-45
-42.7,144.0,30/37,50,175,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.5-100-50
-42.7,144.0,30/37,30,155,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-15.5-100-30
-42.7,144.0,30/37,35,160,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.0-100-35
-42.7,144.0,30/37,40,165,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-16.5-100-40
-42.7,144.0,30/37,45,170,125,2,2,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-17.0-100-45
-43.7,144.0,20/25,50,180,130,1,1,HIT-HP MVX-1009-hh-100-cc,HIT-HP MVX-1009-18.0-100-50
