mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-37.2,176.0,20/25,50,175,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-50
-37.2,176.0,20/25,30,155,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-15.5-100-30
-37.2,176.0,20/25,35,160,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-35
-37.2,176.0,20/25,40,165,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-40
-37.2,176.0,20/25,45,170,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-45
-49.6,132.3,20/25,50,175,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-50
-49.6,132.3,20/25,30,155,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-15.5-100-30
-49.6,132.3,20/25,35,160,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-35
-49.6,132.3,20/25,40,165,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-40
-49.6,132.3,20/25,45,170,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-45
-43.1,176.0,25/30,50,175,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-50
-43.1,176.0,25/30,30,155,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-15.5-100-30
-43.1,176.0,25/30,35,160,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-35
-43.1,176.0,25/30,40,165,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-40
-43.1,176.0,25/30,45,170,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-45
-51.4,147.6,25/30,50,175,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-50
-51.4,147.6,25/30,30,155,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-15.5-100-30
-51.4,147.6,25/30,35,160,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-35
-51.4,147.6,25/30,40,165,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-40
-51.4,147.6,25/30,45,170,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-45
-47.2,176.0,30/37,50,175,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-50
-47.2,176.0,30/37,30,155,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-15.5-100-30
-47.2,176.0,30/37,35,160,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-35
-47.2,176.0,30/37,40,165,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-40
-47.2,176.0,30/37,45,170,125,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-45
-51.4,161.4,30/37,50,175,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-50
-51.4,161.4,30/37,30,155,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-15.5-100-30
-51.4,161.4,30/37,35,160,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-35
-51.4,161.4,30/37,40,165,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-40
-51.4,161.4,30/37,45,170,125,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-45
-39.3,176.0,20/25,50,180,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-50
-39.3,176.0,20/25,30,160,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-30
-39.3,176.0,20/25,35,165,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-35
-39.3,176.0,20/25,40,170,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-40
-39.3,176.0,20/25,45,175,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-45
-52.1,133.6,20/25,50,180,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-50
-52.1,133.6,20/25,30,160,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-30
-52.1,133.6,20/25,35,165,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-35
-52.1,133.6,20/25,40,170,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-40
-52.1,133.6,20/25,45,175,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-45
-45.5,176.0,25/30,50,180,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-50
-45.5,176.0,25/30,30,160,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-30
-45.5,176.0,25/30,35,165,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-35
-45.5,176.0,25/30,40,170,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-40
-45.5,176.0,25/30,45,175,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-45
-54.4,147.6,25/30,50,180,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-50
-54.4,147.6,25/30,30,160,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-30
-54.4,147.6,25/30,35,165,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-35
-54.4,147.6,25/30,40,170,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-40
-54.4,147.6,25/30,45,175,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-45
-49.9,176.0,30/37,50,180,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-50
-49.9,176.0,30/37,30,160,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-30
-49.9,176.0,30/37,35,165,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-35
-49.9,176.0,30/37,40,170,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-40
-49.9,176.0,30/37,45,175,130,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-45
-54.4,161.4,30/37,50,180,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-50
-54.4,161.4,30/37,30,160,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.0-100-30
-54.4,161.4,30/37,35,165,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-35
-54.4,161.4,30/37,40,170,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-40
-54.4,161.4,30/37,45,175,130,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-45
-41.3,176.0,20/25,50,185,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-50
-41.3,176.0,20/25,30,165,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-30
-41.3,176.0,20/25,35,170,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-35
-41.3,176.0,20/25,40,175,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-40
-41.3,176.0,20/25,45,180,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-45
-54.7,134.7,20/25,50,185,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-50
-54.7,134.7,20/25,30,165,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-30
-54.7,134.7,20/25,35,170,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-35
-54.7,134.7,20/25,40,175,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-40
-54.7,134.7,20/25,45,180,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-45
-47.9,176.0,25/30,50,185,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-50
-47.9,176.0,25/30,30,165,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-30
-47.9,176.0,25/30,35,170,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-35
-47.9,176.0,25/30,40,175,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-40
-47.9,176.0,25/30,45,180,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-45
-57.3,147.6,25/30,50,185,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-50
-57.3,147.6,25/30,30,165,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-30
-57.3,147.6,25/30,35,170,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-35
-57.3,147.6,25/30,40,175,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-40
-57.3,147.6,25/30,45,180,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-45
-52.6,176.0,30/37,50,185,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-50
-52.6,176.0,30/37,30,165,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-30
-52.6,176.0,30/37,35,170,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-35
-52.6,176.0,30/37,40,175,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-40
-52.6,176.0,30/37,45,180,135,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-45
-57.3,161.4,30/37,50,185,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-50
-57.3,161.4,30/37,30,165,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-16.5-100-30
-57.3,161.4,30/37,35,170,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-35
-57.3,161.4,30/37,40,175,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-40
-57.3,161.4,30/37,45,180,135,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-45
-43.4,176.0,20/25,50,190,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-50
-43.4,176.0,20/25,30,170,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-30
-43.4,176.0,20/25,35,175,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-35
-43.4,176.0,20/25,40,180,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-40
-43.4,176.0,20/25,45,185,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-45
-57.3,135.7,20/25,50,190,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-50
-57.3,135.7,20/25,30,170,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-30
-57.3,135.7,20/25,35,175,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-35
-57.3,135.7,20/25,40,180,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-40
-57.3,135.7,20/25,45,185,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-45
-50.2,176.0,25/30,50,190,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-50
-50.2,176.0,25/30,30,170,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-30
-50.2,176.0,25/30,35,175,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-35
-50.2,176.0,25/30,40,180,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-40
-50.2,176.0,25/30,45,185,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-45
-60.3,147.6,25/30,50,190,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-50
-60.3,147.6,25/30,30,170,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-30
-60.3,147.6,25/30,35,175,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-35
-60.3,147.6,25/30,40,180,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-40
-60.3,147.6,25/30,45,185,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-45
-55.2,176.0,30/37,50,190,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-50
-55.2,176.0,30/37,30,170,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-30
-55.2,176.0,30/37,35,175,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-35
-55.2,176.0,30/37,40,180,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-40
-55.2,176.0,30/37,45,185,140,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-45
-60.3,161.4,30/37,50,190,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-50
-60.3,161.4,30/37,30,170,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.0-100-30
-60.3,161.4,30/37,35,175,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-35
-60.3,161.4,30/37,40,180,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-40
-60.3,161.4,30/37,45,185,140,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-45
-45.5,176.0,20/25,50,195,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-50
-45.5,176.0,20/25,30,175,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-30
-45.5,176.0,20/25,35,180,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-35
-45.5,176.0,20/25,40,185,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-40
-45.5,176.0,20/25,45,190,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-45
-59.8,136.6,20/25,50,195,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-50
-59.8,136.6,20/25,30,175,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-30
-59.8,136.6,20/25,35,180,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-35
-59.8,136.6,20/25,40,185,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-40
-59.8,136.6,20/25,45,190,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-45
-52.6,176.0,25/30,50,195,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-50
-52.6,176.0,25/30,30,175,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-30
-52.6,176.0,25/30,35,180,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-35
-52.6,176.0,25/30,40,185,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-40
-52.6,176.0,25/30,45,190,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-45
-63.2,147.6,25/30,50,195,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-50
-63.2,147.6,25/30,30,175,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-30
-63.2,147.6,25/30,35,180,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-35
-63.2,147.6,25/30,40,185,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-40
-63.2,147.6,25/30,45,190,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-45
-57.9,176.0,30/37,50,195,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-50
-57.9,176.0,30/37,30,175,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-30
-57.9,176.0,30/37,35,180,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-35
-57.9,176.0,30/37,40,185,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-40
-57.9,176.0,30/37,45,190,145,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-45
-63.2,161.4,30/37,50,195,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-50
-63.2,161.4,30/37,30,175,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-17.5-100-30
-63.2,161.4,30/37,35,180,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-35
-63.2,161.4,30/37,40,185,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-40
-63.2,161.4,30/37,45,190,145,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-45
-47.5,176.0,20/25,50,200,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-20.0-100-50
-47.5,176.0,20/25,30,180,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-30
-47.5,176.0,20/25,35,185,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-35
-47.5,176.0,20/25,40,190,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-40
-47.5,176.0,20/25,45,195,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-45
-62.4,137.3,20/25,50,200,150,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-20.0-100-50
-62.4,137.3,20/25,30,180,150,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-30
-62.4,137.3,20/25,35,185,150,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-35
-62.4,137.3,20/25,40,190,150,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-40
-62.4,137.3,20/25,45,195,150,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-45
-55.0,176.0,25/30,50,200,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-20.0-100-50
-55.0,176.0,25/30,30,180,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.0-100-30
-55.0,176.0,25/30,35,185,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-18.5-100-35
-55.0,176.0,25/30,40,190,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.0-100-40
-55.0,176.0,25/30,45,195,150,1,1,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-19.5-100-45
-66.2,147.6,25/30,50,200,150,2,2,HIT-HP MVX-1211-hh-100-cc,HIT-HP MVX-1211-20.0-100-50
