mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-25.4,96.0,20/25,50,175,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-50
-25.4,96.0,20/25,30,155,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-15.5-100-30
-25.4,96.0,20/25,35,160,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-35
-25.4,96.0,20/25,40,165,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-40
-25.4,96.0,20/25,45,170,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-45
-25.4,96.0,20/25,50,175,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-50
-25.4,96.0,20/25,30,155,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-15.5-100-30
-25.4,96.0,20/25,35,160,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-35
-25.4,96.0,20/25,40,165,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-40
-25.4,96.0,20/25,45,170,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-45
-26.1,96.0,25/30,50,175,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-50
-26.1,96.0,25/30,30,155,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-15.5-100-30
-26.1,96.0,25/30,35,160,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-35
-26.1,96.0,25/30,40,165,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-40
-26.1,96.0,25/30,45,170,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-45
-26.1,96.0,25/30,50,175,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-50
-26.1,96.0,25/30,30,155,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-15.5-100-30
-26.1,96.0,25/30,35,160,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-35
-26.1,96.0,25/30,40,165,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-40
-26.1,96.0,25/30,45,170,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-45
-26.1,96.0,30/37,50,175,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-50
-26.1,96.0,30/37,30,155,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-15.5-100-30
-26.1,96.0,30/37,35,160,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-35
-26.1,96.0,30/37,40,165,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-40
-26.1,96.0,30/37,45,170,125,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-45
-26.1,96.0,30/37,50,175,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-50
-26.1,96.0,30/37,30,155,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-15.5-100-30
-26.1,96.0,30/37,35,160,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-35
-26.1,96.0,30/37,40,165,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-40
-26.1,96.0,30/37,45,170,125,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-45
-26.8,96.0,20/25,50,180,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-18.0-100-50
-26.8,96.0,20/25,30,160,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-30
-26.8,96.0,20/25,35,165,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-35
-26.8,96.0,20/25,40,170,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-40
-26.8,96.0,20/25,45,175,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-45
-26.8,96.0,20/25,50,180,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-18.0-100-50
-26.8,96.0,20/25,30,160,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-30
-26.8,96.0,20/25,35,165,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-35
-26.8,96.0,20/25,40,170,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-40
-26.8,96.0,20/25,45,175,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-45
-27.6,96.0,25/30,50,180,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-18.0-100-50
-27.6,96.0,25/30,30,160,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-30
-27.6,96.0,25/30,35,165,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-35
-27.6,96.0,25/30,40,170,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-40
-27.6,96.0,25/30,45,175,130,1,1,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-45
-27.6,96.0,25/30,50,180,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-18.0-100-50
-27.6,96.0,25/30,30,160,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.0-100-30
-27.6,96.0,25/30,35,165,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-16.5-100-35
-27.6,96.0,25/30,40,170,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.0-100-40
-27.6,96.0,25/30,45,175,130,2,2,HIT-HP MVX-0606-hh-100-cc,HIT-HP MVX-0606-17.5-100-45
