mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-30.8,80.0,20/25,50,175,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-50
-30.8,80.0,20/25,30,155,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-15.5-100-30
-30.8,80.0,20/25,35,160,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-35
-30.8,80.0,20/25,40,165,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-40
-30.8,80.0,20/25,45,170,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-45
-33.4,47.8,20/25,50,175,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-50
-33.4,47.8,20/25,30,155,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-15.5-100-30
-33.4,47.8,20/25,35,160,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-35
-33.4,47.8,20/25,40,165,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-40
-33.4,47.8,20/25,45,170,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-45
-35.8,80.0,25/30,50,175,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-50
-35.8,80.0,25/30,30,155,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-15.5-100-30
-35.8,80.0,25/30,35,160,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-35
-35.8,80.0,25/30,40,165,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-40
-35.8,80.0,25/30,45,170,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-45
-36.0,79.3,25/30,50,175,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-50
-36.0,79.3,25/30,30,155,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-15.5-100-30
-36.0,79.3,25/30,35,160,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-35
-36.0,79.3,25/30,40,165,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-40
-36.0,79.3,25/30,45,170,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-45
-36.0,80.0,30/37,50,175,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-50
-36.0,80.0,30/37,30,155,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-15.5-100-30
-36.0,80.0,30/37,35,160,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-35
-36.0,80.0,30/37,40,165,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-40
-36.0,80.0,30/37,45,170,125,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-45
-36.0,80.0,30/37,50,175,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-50
-36.0,80.0,30/37,30,155,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-15.5-100-30
-36.0,80.0,30/37,35,160,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-35
-36.0,80.0,30/37,40,165,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-40
-36.0,80.0,30/37,45,170,125,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-45
-32.9,80.0,20/25,50,180,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-50
-32.9,80.0,20/25,30,160,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-30
-32.9,80.0,20/25,35,165,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-35
-32.9,80.0,20/25,40,170,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-40
-32.9,80.0,20/25,45,175,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-45
-35.8,47.8,20/25,50,180,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-50
-35.8,47.8,20/25,30,160,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-30
-35.8,47.8,20/25,35,165,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-35
-35.8,47.8,20/25,40,170,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-40
-35.8,47.8,20/25,45,175,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-45
-38.3,80.0,25/30,50,180,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-50
-38.3,80.0,25/30,30,160,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-30
-38.3,80.0,25/30,35,165,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-35
-38.3,80.0,25/30,40,170,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-40
-38.3,80.0,25/30,45,175,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-45
-38.4,79.3,25/30,50,180,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-50
-38.4,79.3,25/30,30,160,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-30
-38.4,79.3,25/30,35,165,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-35
-38.4,79.3,25/30,40,170,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-40
-38.4,79.3,25/30,45,175,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-45
-38.4,80.0,30/37,50,180,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-50
-38.4,80.0,30/37,30,160,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-30
-38.4,80.0,30/37,35,165,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-35
-38.4,80.0,30/37,40,170,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-40
-38.4,80.0,30/37,45,175,130,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-45
-38.4,80.0,30/37,50,180,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-50
-38.4,80.0,30/37,30,160,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.0-100-30
-38.4,80.0,30/37,35,165,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-35
-38.4,80.0,30/37,40,170,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-40
-38.4,80.0,30/37,45,175,130,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-45
-35.1,80.0,20/25,50,185,135,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.5-100-50
-35.1,80.0,20/25,30,165,135,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-30
-35.1,80.0,20/25,35,170,135,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.0-100-35
-35.1,80.0,20/25,40,175,135,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-17.5-100-40
-35.1,80.0,20/25,45,180,135,1,1,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.0-100-45
-38.3,47.8,20/25,50,185,135,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-18.5-100-50
-38.3,47.8,20/25,30,165,135,2,2,HIT-HP MVX-1005-hh-100-cc,HIT-HP MVX-1005-16.5-100-30
