mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-43.2,112.0,20/25,50,175,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.5-100-50
-43.2,112.0,20/25,30,155,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-15.5-100-30
-43.2,112.0,20/25,35,160,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.0-100-35
-43.2,112.0,20/25,40,165,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.5-100-40
-43.2,112.0,20/25,45,170,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.0-100-45
-49.3,2.6,20/25,50,175,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.5-100-50
-49.3,2.6,20/25,30,155,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-15.5-100-30
-49.3,2.6,20/25,35,160,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.0-100-35
-49.3,2.6,20/25,40,165,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.5-100-40
-49.3,2.6,20/25,45,170,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.0-100-45
-50.2,112.0,25/30,50,175,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.5-100-50
-50.2,112.0,25/30,30,155,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-15.5-100-30
-50.2,112.0,25/30,35,160,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.0-100-35
-50.2,112.0,25/30,40,165,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.5-100-40
-50.2,112.0,25/30,45,170,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.0-100-45
-54.1,86.4,25/30,50,175,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.5-100-50
-54.1,86.4,25/30,30,155,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-15.5-100-30
-54.1,86.4,25/30,35,160,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.0-100-35
-54.1,86.4,25/30,40,165,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.5-100-40
-54.1,86.4,25/30,45,170,125,2,2,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.0-100-45
-52.3,112.0,30/37,50,175,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-17.5-100-50
-52.3,112.0,30/37,30,155,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-15.5-100-30
-52.3,112.0,30/37,35,160,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.0-100-35
-52.3,112.0,30/37,40,165,125,1,1,HIT-HP MVX-1607-hh-100-cc,HIT-HP MVX-1607-16.5-100-40
