mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-37.0,96.0,20/25,50,175,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-50
-37.0,96.0,20/25,30,155,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-15.5-100-30
-37.0,96.0,20/25,35,160,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-35
-37.0,96.0,20/25,40,165,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-40
-37.0,96.0,20/25,45,170,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-45
-41.4,27.1,20/25,50,175,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-50
-41.4,27.1,20/25,30,155,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-15.5-100-30
-41.4,27.1,20/25,35,160,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-35
-41.4,27.1,20/25,40,165,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-40
-41.4,27.1,20/25,45,170,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-45
-43.0,96.0,25/30,50,175,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-50
-43.0,96.0,25/30,30,155,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-15.5-100-30
-43.0,96.0,25/30,35,160,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-35
-43.0,96.0,25/30,40,165,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-40
-43.0,96.0,25/30,45,170,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-45
-45.1,82.8,25/30,50,175,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-50
-45.1,82.8,25/30,30,155,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-15.5-100-30
-45.1,82.8,25/30,35,160,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-35
-45.1,82.8,25/30,40,165,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-40
-45.1,82.8,25/30,45,170,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-45
-44.8,96.0,30/37,50,175,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-50
-44.8,96.0,30/37,30,155,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-15.5-100-30
-44.8,96.0,30/37,35,160,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-35
-44.8,96.0,30/37,40,165,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-40
-44.8,96.0,30/37,45,170,125,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-45
-45.1,93.9,30/37,50,175,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-50
-45.1,93.9,30/37,30,155,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-15.5-100-30
-45.1,93.9,30/37,35,160,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-35
-45.1,93.9,30/37,40,165,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-40
-45.1,93.9,30/37,45,170,125,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-45
-39.5,96.0,20/25,50,180,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-18.0-100-50
-39.5,96.0,20/25,30,160,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-30
-39.5,96.0,20/25,35,165,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-35
-39.5,96.0,20/25,40,170,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-40
-39.5,96.0,20/25,45,175,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-45
-44.6,27.1,20/25,50,180,130,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-18.0-100-50
-44.6,27.1,20/25,30,160,130,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-30
-44.6,27.1,20/25,35,165,130,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-35
-44.6,27.1,20/25,40,170,130,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-40
-44.6,27.1,20/25,45,175,130,2,2,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.5-100-45
-45.9,96.0,25/30,50,180,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-18.0-100-50
-45.9,96.0,25/30,30,160,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.0-100-30
-45.9,96.0,25/30,35,165,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-16.5-100-35
-45.9,96.0,25/30,40,170,130,1,1,HIT-HP MVX-1306-hh-100-cc,HIT-HP MVX-1306-17.0-100-40
