mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-46.1,128.0,20/25,50,175,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-50
-46.1,128.0,20/25,30,155,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-15.5-100-30
-46.1,128.0,20/25,35,160,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-35
-46.1,128.0,20/25,40,165,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-40
-46.1,128.0,20/25,45,170,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-45
-56.0,13.3,20/25,50,175,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-50
-56.0,13.3,20/25,30,155,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-15.5-100-30
-56.0,13.3,20/25,35,160,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-35
-56.0,13.3,20/25,40,165,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-40
-56.0,13.3,20/25,45,170,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-45
-52.0,128.0,25/30,50,175,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-50
-52.0,128.0,25/30,30,155,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-15.5-100-30
-52.0,128.0,25/30,35,160,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-35
-52.0,128.0,25/30,40,165,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-40
-52.0,128.0,25/30,45,170,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-45
-61.3,73.9,25/30,50,175,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-50
-61.3,73.9,25/30,30,155,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-15.5-100-30
-61.3,73.9,25/30,35,160,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-35
-61.3,73.9,25/30,40,165,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-40
-61.3,73.9,25/30,45,170,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-45
-54.7,128.0,30/37,50,175,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-50
-54.7,128.0,30/37,30,155,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-15.5-100-30
-54.7,128.0,30/37,35,160,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-35
-54.7,128.0,30/37,40,165,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-40
-54.7,128.0,30/37,45,170,125,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-45
-61.3,87.6,30/37,50,175,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-50
-61.3,87.6,30/37,30,155,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-15.5-100-30
-61.3,87.6,30/37,35,160,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-35
-61.3,87.6,30/37,40,165,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-40
-61.3,87.6,30/37,45,170,125,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-45
-49.1,128.0,20/25,50,180,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-18.0-100-50
-49.1,128.0,20/25,30,160,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-30
-49.1,128.0,20/25,35,165,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-35
-49.1,128.0,20/25,40,170,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-40
-49.1,128.0,20/25,45,175,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-45
-60.5,13.3,20/25,50,180,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-18.0-100-50
-60.5,13.3,20/25,30,160,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-30
-60.5,13.3,20/25,35,165,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-35
-60.5,13.3,20/25,40,170,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-40
-60.5,13.3,20/25,45,175,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-45
-55.4,128.0,25/30,50,180,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-18.0-100-50
-55.4,128.0,25/30,30,160,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-30
-55.4,128.0,25/30,35,165,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-35
-55.4,128.0,25/30,40,170,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-40
-55.4,128.0,25/30,45,175,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-45
-65.8,73.9,25/30,50,180,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-18.0-100-50
-65.8,73.9,25/30,30,160,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-30
-65.8,73.9,25/30,35,165,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-35
-65.8,73.9,25/30,40,170,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-40
-65.8,73.9,25/30,45,175,130,2,2,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.5-100-45
-58.3,128.0,30/37,50,180,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-18.0-100-50
-58.3,128.0,30/37,30,160,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.0-100-30
-58.3,128.0,30/37,35,165,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-16.5-100-35
-58.3,128.0,30/37,40,170,130,1,1,HIT-HP MVX-1808-hh-100-cc,HIT-HP MVX-1808-17.0-100-40
