mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-24.3,80.0,20/25,50,175,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.5-100-50
-24.3,80.0,20/25,30,155,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-15.5-100-30
-24.3,80.0,20/25,35,160,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.0-100-35
-24.3,80.0,20/25,40,165,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.5-100-40
-24.3,80.0,20/25,45,170,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.0-100-45
-24.3,80.0,20/25,50,175,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.5-100-50
-24.3,80.0,20/25,30,155,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-15.5-100-30
-24.3,80.0,20/25,35,160,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.0-100-35
-24.3,80.0,20/25,40,165,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.5-100-40
-24.3,80.0,20/25,45,170,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.0-100-45
-25.2,80.0,25/30,50,175,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.5-100-50
-25.2,80.0,25/30,30,155,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-15.5-100-30
-25.2,80.0,25/30,35,160,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.0-100-35
-25.2,80.0,25/30,40,165,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.5-100-40
-25.2,80.0,25/30,45,170,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.0-100-45
-25.2,80.0,25/30,50,175,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.5-100-50
-25.2,80.0,25/30,30,155,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-15.5-100-30
-25.2,80.0,25/30,35,160,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.0-100-35
-25.2,80.0,25/30,40,165,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-16.5-100-40
-25.2,80.0,25/30,45,170,125,2,2,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.0-100-45
-25.2,80.0,30/37,50,175,125,1,1,HIT-HP MVX-0605-hh-100-cc,HIT-HP MVX-0605-17.5-100-50
