mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-46.1,128.0,20/25,50,175,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-50
-46.1,128.0,20/25,30,155,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-15.5-100-30
-46.1,128.0,20/25,35,160,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-35
-46.1,128.0,20/25,40,165,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-40
-46.1,128.0,20/25,45,170,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-45
-49.8,107.0,20/25,50,175,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-50
-49.8,107.0,20/25,30,155,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-15.5-100-30
-49.8,107.0,20/25,35,160,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-35
-49.8,107.0,20/25,40,165,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-40
-49.8,107.0,20/25,45,170,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-45
-52.0,128.0,25/30,50,175,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-50
-52.0,128.0,25/30,30,155,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-15.5-100-30
-52.0,128.0,25/30,35,160,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-35
-52.0,128.0,25/30,40,165,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-40
-52.0,128.0,25/30,45,170,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-45
-53.0,123.1,25/30,50,175,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-50
-53.0,123.1,25/30,30,155,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-15.5-100-30
-53.0,123.1,25/30,35,160,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-35
-53.0,123.1,25/30,40,165,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-40
-53.0,123.1,25/30,45,170,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-45
-53.0,128.0,30/37,50,175,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-50
-53.0,128.0,30/37,30,155,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-15.5-100-30
-53.0,128.0,30/37,35,160,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-35
-53.0,128.0,30/37,40,165,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-40
-53.0,128.0,30/37,45,170,125,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-45
-53.0,128.0,30/37,50,175,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-50
-53.0,128.0,30/37,30,155,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-15.5-100-30
-53.0,128.0,30/37,35,160,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-35
-53.0,128.0,30/37,40,165,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-40
-53.0,128.0,30/37,45,170,125,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-45
-49.1,128.0,20/25,50,180,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-18.0-100-50
-49.1,128.0,20/25,30,160,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-30
-49.1,128.0,20/25,35,165,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-35
-49.1,128.0,20/25,40,170,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-40
-49.1,128.0,20/25,45,175,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-45
-53.3,107.0,20/25,50,180,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-18.0-100-50
-53.3,107.0,20/25,30,160,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-30
-53.3,107.0,20/25,35,165,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-35
-53.3,107.0,20/25,40,170,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-40
-53.3,107.0,20/25,45,175,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-45
-55.4,128.0,25/30,50,180,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-18.0-100-50
-55.4,128.0,25/30,30,160,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-30
-55.4,128.0,25/30,35,165,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-35
-55.4,128.0,25/30,40,170,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-40
-55.4,128.0,25/30,45,175,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-45
-56.5,123.1,25/30,50,180,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-18.0-100-50
-56.5,123.1,25/30,30,160,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-30
-56.5,123.1,25/30,35,165,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.5-100-35
-56.5,123.1,25/30,40,170,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.0-100-40
-56.5,123.1,25/30,45,175,130,2,2,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-17.5-100-45
-56.5,128.0,30/37,50,180,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-18.0-100-50
-56.5,128.0,30/37,30,160,130,1,1,HIT-HP MVX-1408-hh-100-cc,HIT-HP MVX-1408-16.0-100-30
